source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
Amorphous metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,,,,
Apheresis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,3.0,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,2.0,,1.0,2.0,2.0,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,2.0,,,1.0,4.0,,,,,,1.0,,,2.0,,,,3.0,,,,
Artificial brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial general intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
Artificial muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Artificial photosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
Asteroid mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,4.0,,,,,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,5.0,26.0,9.0,11.0,8.0,5.0,10.0,1.0,2.0,11.0,12.0,3.0,3.0,12.0,15.0,15.0,8.0,8.0,26.0,14.0,4.0,19.0,24.0,4.0,25.0,2.0,9.0,15.0,22.0,5.0,11.0,21.0,18.0,16.0,25.0,9.0,14.0,14.0,30.0,25.0,22.0,8.0,17.0,21.0,17.0,11.0,7.0,5.0,17.0,29.0,13.0,18.0,12.0,2.0,6.0,7.0,2.0,16.0,5.0,3.0,2.0,6.0,9.0,2.0,4.0,3.0,12.0,2.0,2.0,8.0,7.0,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,4.0,19.0,,1.0,2.0,,1.0,,6.0,4.0,,10.0,2.0,9.0,3.0,3.0,2.0,4.0,2.0,9.0,5.0,2.0,4.0,9.0,14.0,3.0,11.0,32.0,5.0,11.0,14.0,12.0,10.0,11.0,11.0,18.0,23.0,12.0,15.0,16.0,30.0,15.0,4.0,18.0,9.0,18.0,16.0,12.0,30.0,25.0,19.0,6.0,3.0,4.0,,4.0,,1.0,5.0,3.0,8.0,2.0,,2.0,5.0,7.0,12.0,4.0,6.0,17.0,
Bio Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,7.0,,,,,,,,,,,3.0,1.0,,,1.0,,7.0,,,,1.0,,,4.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,4.0,,,2.0,,,,,,4.0,1.0,,,,,,,,,,,,,,,
Bioplastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,1.0,,,,,,1.0,7.0,,,6.0,,1.0,,,,5.0,,,,,,4.0,4.0,,,2.0,1.0,1.0,,2.0,,10.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,11.0,3.0,2.0,,8.0,,3.0,,,,4.0,,,,,,,,,,,,,,
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,4.0,,2.0,1.0,13.0,1.0,1.0,,1.0,,,,,1.0,1.0,10.0,1.0,5.0,3.0,,1.0,2.0,1.0,4.0,1.0,2.0,,1.0,,2.0,,2.0,2.0,18.0,6.0,8.0,3.0,8.0,7.0,3.0,,1.0,12.0,3.0,3.0,6.0,,3.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,3.0,,1.0,2.0,3.0,,1.0,,,4.0,1.0,,,1.0,,,1.0,,3.0,,,,3.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,6.0,,,,,1.0,,,
Breath analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,5.0,1.0,,,,,,1.0,,1.0,1.0,,,4.0,1.0,,,2.0,,,2.0,,1.0,,,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,
Capsule endoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,8.0,1.0,11.0,2.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,2.0,,
Carbon capture and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,7.0,2.0,3.0,3.0,8.0,5.0,2.0,1.0,7.0,3.0,,,4.0,8.0,2.0,1.0,4.0,,1.0,,3.0,5.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,10.0,,,1.0,,,1.0,,,4.0,,,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,4.0,1.0,2.0,,,1.0,,,1.0,,1.0,4.0,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,
Carbon nanotube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,1.0,,,,,2.0,1.0,,1.0,,,1.0,,,,,1.0,3.0,,,,4.0,,,1.0,1.0,6.0,1.0,,,,,11.0,1.0,,1.0,4.0,1.0,,,1.0,,,,,1.0,,,,2.0,,,,2.0,,1.0,4.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,1.0,,,2.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,2.0,1.0,1.0,
Claytronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
Cloaking device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,1.0,,,,1.0,1.0,,,2.0,,1.0,,2.0,3.0,,2.0,1.0,5.0,,,,,,1.0,,1.0,1.0,,,3.0,1.0,9.0,,4.0,3.0,1.0,2.0,,1.0,1.0,,1.0,,3.0,1.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,6.0,11.0,29.0,26.0,29.0,65.0,32.0,4.0,15.0,16.0,25.0,36.0,35.0,34.0,39.0,66.0,21.0,32.0,6.0,8.0,10.0,30.0,18.0,43.0,19.0,32.0,18.0,24.0,24.0,9.0,15.0,18.0,34.0,26.0,29.0,40.0,17.0,35.0,18.0,30.0,30.0,35.0,17.0,17.0,18.0,9.0,48.0,40.0,5.0,51.0,52.0,18.0,43.0,16.0,3.0,7.0,20.0,2.0,2.0,18.0,13.0,12.0,10.0,32.0,22.0,6.0,10.0,6.0,9.0,9.0,9.0,8.0,22.0,
Coal liquefaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companion robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
Compressive Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer-generated imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductive polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,,1.0,,,1.0,1.0,2.0,,,4.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Construction 3D printing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Cortical implant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,4.0,5.0,8.0,6.0,4.0,6.0,16.0,16.0,7.0,13.0,39.0,7.0,12.0,10.0,25.0,8.0,11.0,3.0,4.0,5.0,7.0,5.0,14.0,14.0,,1.0,5.0,3.0,10.0,5.0,3.0,4.0,3.0,7.0,3.0,2.0,4.0,10.0,,2.0,4.0,21.0,4.0,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,5.0,,,,,,,,,5.0,3.0,,2.0,,,,3.0,2.0,4.0,3.0,1.0,,1.0,1.0,1.0,,,,,1.0,2.0,2.0,
DNA repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,5.0,,5.0,2.0,,4.0,20.0,1.0,2.0,,3.0,,1.0,5.0,7.0,7.0,15.0,14.0,13.0,9.0,2.0,21.0,14.0,15.0,8.0,9.0,15.0,9.0,19.0,16.0,7.0,14.0,20.0,16.0,15.0,26.0,21.0,20.0,16.0,54.0,16.0,13.0,11.0,24.0,18.0,13.0,15.0,12.0,35.0,34.0,37.0,25.0,5.0,7.0,19.0,3.0,7.0,16.0,12.0,13.0,2.0,4.0,9.0,,10.0,5.0,14.0,4.0,16.0,6.0,4.0,16.0,
Digital image processing,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,,,,4.0,,,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,
