,Topic,Count,Name
0,-1,148,-1_new_study_data_says
1,0,52,0_study_finds_brain_increase
2,1,44,1_solar_electric_power_energy
3,2,41,2_climate_tech_fund_change
4,3,38,3_cancer_blood_research_breakthrough
5,4,34,4_plastic_robots_robot_recycling
6,5,26,5_farmers_farming_technology_meat
7,6,23,6_nasa_nasas_dart_webb
8,7,18,7_facebook_twitter_users_phone
9,8,14,8_legal_contract_lawyers_review
