source,2010-05-01T00:00:00Z,2010-10-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-08-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-11-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-09-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,3.0,2.0,2.0,,6.0,,1.0,,2.0,,3.0,,,,2.0,,,4.0,,8.0,2.0,2.0,,3.0,6.0,2.0,1.0,3.0,7.0,1.0,1.0,3.0,2.0,2.0,,,7.0,7.0,1.0,1.0,1.0,,1.0,,10.0,4.0,,3.0,2.0,,1.0,,,,,,,,,,,,,8.0,4.0,,,
Lab-on-a-chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,
Laser weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Fi,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,7.0,1.0,1.0,,,,,,2.0,,4.0,3.0,3.0,2.0,,2.0,,1.0,1.0,1.0,3.0,,1.0,1.0,,3.0,6.0,,1.0,,1.0,,,,,,,
Lithium ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,2.0,,,,2.0,,,2.0,1.0,,,,,1.0,,1.0,,1.0,,,9.0,2.0,4.0,2.0,4.0,1.0,1.0,,7.0,,1.0,4.0,2.0,,1.0,2.0,3.0,,5.0,,2.0,,1.0,,,,2.0,2.0,,,1.0,,,,2.0,,,2.0,,
Lithium-air battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium-sulfur battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,2.0,,1.0,1.0,,2.0,1.0,,3.0,,,,,,3.0,1.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,
Maglev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microelectromechanical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microfluidics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Mobile learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modular Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Nanocrystal,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Oncolytic virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
Optical coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Perovskite solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phage therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photoacoustic imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,3.0,1.0,5.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Predictive maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
Quantum cryptography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,8.0,1.0,,,,,6.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,2.0,,,1.0,,,,,1.0,,,1.0,,3.0,1.0,,,,,,,,
Quantum radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,9.0,7.0,,14.0,,1.0,2.0,2.0,2.0,2.0,,,,1.0,5.0,4.0,5.0,2.0,8.0,1.0,1.0,4.0,1.0,2.0,1.0,6.0,2.0,,1.0,2.0,2.0,,,1.0,,1.0,3.0,,8.0,1.0,,,,1.0,,,4.0,,,2.0,,,,,1.0,,5.0,,,,,,,1.0,,1.0,1.0,,1.0
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,1.0,2.0,,,,,,,1.0,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,3.0,4.0,,1.0,9.0,,19.0,2.0,2.0,,,4.0,,,7.0,,1.0,,2.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,4.0,5.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,2.0,,1.0,4.0,,41.0,51.0,20.0,57.0,37.0,120.0,22.0,97.0,7.0,1.0,19.0,5.0,9.0,6.0,13.0,7.0,1.0,3.0,5.0,5.0,9.0,38.0,121.0,5.0,4.0,10.0,21.0,3.0,11.0,8.0,2.0,33.0,10.0,28.0,20.0,7.0,12.0,22.0,7.0,9.0,8.0,7.0,7.0,5.0,3.0,3.0,2.0,2.0,4.0,22.0,16.0,47.0,52.0,11.0,,5.0,1.0,1.0,7.0,4.0,5.0,4.0,4.0,2.0,27.0,7.0,,2.0,3.0,17.0,3.0,2.0,1.0
Sodium-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space-based solar power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Stem-cell therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,,,,,7.0,,,,,3.0,3.0,1.0,,,,,,5.0,,2.0,,,,,,,,,,,,2.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,2.0,,,16.0,,,,,1.0,,,,,,,,,,,,,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Urban mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,2.0,,1.0,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
Virtual power Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,32.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,2.0,3.0,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,,3.0,1.0,,,,,1.0,1.0,,1.0,2.0,2.0,,2.0,,,,1.0,,,,
Virtual retinal display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumetric display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Wireless power transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
e-Reader,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hydroponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,
