source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Bio Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Biomass to liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioplastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,6.0,,4.0,,,,,,1.0,,3.0,,,,,1.0,,,,,,2.0,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,3.0,2.0,,1.0,1.0,,,,,,,,,,
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,1.0,1.0,1.0,3.0,,2.0,,,1.0,,,,,,,,,,,2.0,2.0,4.0,2.0,1.0,2.0,,,,1.0,1.0,,1.0,,,3.0,1.0,5.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,1.0,1.0,,1.0,2.0,,1.0,,1.0,,,,1.0,,,3.0,,,,,1.0,,,,1.0,1.0,,,,,1.0,3.0,,1.0,1.0,,,,2.0,,1.0,1.0,,6.0,,,,,,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Capsule endoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,2.0,,,2.0,3.0,,2.0,,,3.0,,,,1.0,,,,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,10.0,1.0,9.0,2.0,,,,1.0,,,8.0,4.0,,,,,4.0,4.0,,,1.0,,6.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,4.0,,17.0,,,,,,,,,,,,1.0,1.0,2.0,3.0
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
Carbon nanotube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,4.0,7.0,,,1.0,1.0,,1.0,,3.0,,,,1.0,,,,,,2.0,3.0,,,,,,4.0,1.0,3.0,6.0,,7.0,1.0,,2.0,2.0,,,1.0,2.0,,1.0,1.0,2.0,,2.0,,,2.0,1.0,,,,1.0,2.0,,,,,,1.0,,,1.0,,,,1.0
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,9.0,1.0,,2.0,,1.0,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,1.0,,1.0,,,,2.0,,1.0,,,,2.0,,,,1.0,,1.0,,,,3.0,,,,,5.0,,,1.0,,3.0,,,,2.0,,,,1.0,,,,,,,,
Claytronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Cloaking device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Closed system drug transfer device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,2.0,2.0,1.0,,,1.0,5.0,2.0,,,,,1.0,,,,1.0,2.0,,9.0,1.0,6.0,1.0,1.0,,,,,,,,1.0,4.0,,2.0,1.0,2.0,2.0,,2.0,,,,,25.0,38.0,17.0,75.0,59.0,28.0,51.0,84.0,62.0,61.0,28.0,25.0,33.0,29.0,34.0,43.0,5.0,33.0,18.0,11.0,32.0,42.0,18.0,30.0,23.0,49.0,6.0,51.0,19.0,45.0,28.0,14.0,24.0,52.0,24.0,43.0,60.0,47.0,27.0,53.0,24.0,75.0,50.0,44.0,56.0,66.0,51.0,38.0,30.0,73.0,22.0,53.0,54.0,81.0,18.0,37.0,19.0,41.0,15.0,10.0,15.0,20.0,13.0,9.0,29.0,26.0,21.0,24.0,11.0,35.0,13.0,14.0,48.0
Coal liquefaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,18.0,1.0,1.0,1.0,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,
Companion robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
Compressive Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Computer-generated imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductive polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,6.0,,,,,,3.0,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
