source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Cryonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,12.0,2.0,,,,,2.0,,3.0,5.0,3.0,3.0,2.0,3.0,3.0,,1.0,,3.0,,6.0,18.0,18.0,7.0,4.0,7.0,41.0,17.0,44.0,300.0,120.0,60.0,105.0,207.0,114.0,82.0,118.0,64.0,104.0,61.0,85.0,82.0,125.0,65.0,44.0,81.0,65.0,55.0,98.0,70.0,21.0,37.0,55.0,11.0,48.0,66.0,35.0,22.0,19.0,7.0,4.0,12.0,7.0,15.0,14.0,13.0,10.0,16.0,22.0
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,3.0,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,
DNA repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,12.0,4.0,6.0,4.0,,3.0,1.0,7.0,,2.0,4.0,3.0,4.0,1.0,2.0,,15.0,4.0,5.0,6.0,14.0,10.0,7.0,14.0,10.0,4.0,26.0,22.0,17.0,15.0,10.0,6.0,16.0,10.0,11.0,16.0,3.0,11.0,14.0,5.0,18.0,6.0,12.0,25.0,16.0,10.0,18.0,3.0,5.0,5.0,11.0,5.0,3.0,3.0,6.0,3.0,2.0,6.0,11.0,6.0,4.0,7.0,20.0,,5.0,8.0,4.0
Digital image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,2.0,,,2.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,3.0,1.0,,,,,7.0,2.0,2.0,2.0,,1.0,5.0,2.0,1.0,,2.0,,3.0,1.0,3.0,10.0,4.0,6.0,,1.0,,1.0,3.0,1.0,5.0,1.0,,,,,,,1.0,,,3.0,1.0,,,,,,,1.0,1.0
Document automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-eluting stent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,3.0,2.0,,16.0,2.0,3.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
Dye-sensitized solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
EMP weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,4.0,,1.0,4.0,5.0,,,2.0,10.0,9.0,,1.0,2.0,16.0,7.0,2.0,3.0,5.0,7.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,18.0,11.0,3.0,11.0,3.0,7.0,4.0,2.0,3.0,2.0,11.0,5.0,2.0,,2.0,2.0,7.0,10.0,4.0,1.0,4.0,1.0,4.0,1.0
Electric vehicle,2.0,,,,,1.0,,,2.0,,,,3.0,,,7.0,,3.0,,,3.0,2.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,2.0,,,,,,1.0,,2.0,2.0,1.0,1.0,,27.0,42.0,10.0,43.0,50.0,30.0,37.0,9.0,18.0,38.0,20.0,20.0,26.0,29.0,33.0,61.0,55.0,20.0,35.0,41.0,34.0,60.0,23.0,37.0,42.0,31.0,39.0,46.0,40.0,19.0,63.0,76.0,55.0,65.0,47.0,81.0,97.0,106.0,173.0,178.0,96.0,63.0,56.0,101.0,65.0,50.0,82.0,134.0,55.0,364.0,90.0,106.0,82.0,124.0,40.0,50.0,24.0,38.0,17.0,42.0,35.0,70.0,27.0,22.0,38.0,49.0,47.0,87.0,56.0,73.0,137.0,185.0,60.0
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,8.0,,,,,6.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,4.0
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,
Electronic skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,8.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,
Energy harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,1.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,,,,,3.0,1.0,5.0,1.0,,4.0,,4.0,,2.0,1.0,2.0,1.0,,,1.0,3.0,2.0,,7.0,,4.0,12.0,5.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,5.0,,,
Exascale computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,8.0,,2.0,1.0,,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,6.0,2.0,1.0
Extreme ultraviolet lithography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,7.0,26.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,7.0,1.0,1.0,3.0,2.0,4.0,7.0,3.0,6.0,2.0,1.0,2.0,12.0,6.0,10.0,12.0,14.0,18.0,20.0,64.0,28.0,33.0,30.0,27.0,48.0,24.0,23.0,37.0,29.0,5.0,57.0,22.0,6.0,21.0,16.0,14.0,45.0,101.0,23.0,19.0,21.0,54.0,50.0,22.0,94.0,11.0,18.0,67.0,9.0,21.0,9.0,14.0,21.0,3.0,3.0,17.0,42.0
Flexible display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,11.0,,6.0,,3.0,6.0,1.0,9.0,10.0,7.0,4.0,8.0,17.0,,5.0,5.0,4.0,4.0,,,,,5.0,1.0,1.0,,4.0,,,,,,1.0,,,,5.0,,,,,,,,,,2.0,
Flexible electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,3.0,,,,,1.0,,,3.0,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,,3.0,,,,1.0,3.0,1.0,,5.0,1.0,1.0,,3.0,,,,,1.0,1.0,,,3.0,1.0,1.0,1.0,,1.0,2.0,4.0,,2.0,,3.0,,,1.0,,1.0,,1.0,1.0,1.0
Floating Liquefied Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,16.0,,,,,,,,,,1.0,,,,,,,,,,,
Flywheel energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Fuel cell,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,1.0,,,1.0,,,,,9.0,9.0,12.0,3.0,2.0,28.0,13.0,21.0,2.0,31.0,8.0,38.0,1.0,6.0,9.0,14.0,1.0,5.0,3.0,22.0,10.0,20.0,25.0,19.0,13.0,19.0,26.0,19.0,14.0,22.0,15.0,6.0,18.0,25.0,2.0,21.0,25.0,31.0,29.0,33.0,19.0,41.0,25.0,25.0,28.0,12.0,15.0,23.0,38.0,50.0,26.0,39.0,64.0,46.0,21.0,9.0,13.0,33.0,20.0,7.0,18.0,15.0,8.0,13.0,2.0,3.0,24.0,23.0,8.0,29.0,10.0,17.0,13.0
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,6.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,19.0,2.0,3.0,,1.0,,,4.0,,4.0,6.0,4.0,11.0,,1.0,,,,3.0,,1.0,1.0,,,4.0,,11.0,4.0,5.0,1.0,,1.0,9.0,3.0,,10.0,2.0,,,,1.0,2.0,,1.0,,3.0,
Fullerene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,1.0,1.0,,,5.0,,,3.0,,,,,,,,,,,,,,,,,
Fusion power,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,3.0,8.0,3.0,,2.0,,,,,,,,2.0,,,,1.0,19.0,2.0,,,,,,1.0,,,,,,,,2.0,,,,,
Gallium Nitride semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,2.0,,2.0,2.0,,4.0,3.0,1.0,3.0,9.0,,2.0,,,2.0,3.0,,1.0,2.0,,2.0,,1.0,,,,,,1.0,1.0,1.0,,,2.0,,,,2.0,,1.0,,1.0,5.0,,,2.0,1.0,1.0,,,,,2.0,,3.0,,,,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,3.0,,,,2.0,8.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0,20.0,1.0,14.0,5.0,6.0,13.0,14.0,5.0,9.0,3.0,3.0,3.0,12.0,6.0,6.0,4.0,2.0,6.0,4.0,1.0,3.0,1.0,2.0,,4.0,1.0,,3.0,2.0,22.0,10.0,2.0,6.0,6.0,5.0,6.0,7.0,1.0,1.0,3.0,5.0,,2.0,11.0,,5.0,4.0,4.0,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,2.0,2.0,,,2.0
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,23.0,14.0,11.0,7.0,1.0,12.0,8.0,14.0,19.0,4.0,34.0,2.0,11.0,2.0,9.0,11.0,12.0,,3.0,18.0,9.0,7.0,17.0,2.0,1.0,3.0,3.0,14.0,26.0,5.0,19.0,7.0,6.0,5.0,7.0,6.0,,7.0,2.0,2.0,17.0,6.0,35.0,328.0,104.0,132.0,80.0,28.0,13.0,31.0,11.0,4.0,5.0,6.0,10.0,1.0,26.0,6.0,2.0,,3.0,4.0,6.0,5.0,1.0,2.0,5.0,4.0,20.0
Generation IV reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,17.0,,5.0,1.0,,,1.0,1.0,2.0,,,2.0,8.0,4.0,8.0,2.0,,,,1.0,,3.0,7.0,3.0,4.0,,,1.0,2.0,,,,1.0,,,,,,,,4.0,5.0,6.0,,,,,15.0,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,2.0,1.0,,,,,,,,1.0,,1.0,3.0,1.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,3.0,1.0,,,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,2.0,,3.0,1.0,,2.0,2.0,,1.0,5.0,,2.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,,1.0,2.0,2.0,4.0,1.0,3.0,,2.0,,2.0,1.0,3.0,1.0,,,,1.0,6.0,6.0,2.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,
Graphene,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,6.0,21.0,40.0,14.0,9.0,2.0,20.0,13.0,9.0,3.0,39.0,62.0,3.0,8.0,13.0,47.0,19.0,23.0,7.0,17.0,11.0,14.0,28.0,21.0,27.0,13.0,11.0,17.0,14.0,20.0,24.0,14.0,7.0,25.0,25.0,32.0,20.0,25.0,12.0,27.0,17.0,24.0,20.0,12.0,24.0,11.0,16.0,47.0,29.0,25.0,16.0,23.0,23.0,21.0,8.0,3.0,6.0,9.0,3.0,13.0,4.0,11.0,2.0,6.0,6.0,6.0,5.0,,6.0,9.0,,,6.0
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,1.0,,,,4.0,,,1.0,6.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,2.0,,,2.0,2.0,,6.0,10.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,
HPM weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptic technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
Head transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,4.0,1.0,1.0,,,,,,,,1.0,2.0,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,1.0,,,6.0,,4.0,1.0,,,2.0,,1.0,3.0,,,2.0,,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,2.0,,
Homodyne detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Hovertrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,1.0,2.0,,,1.0,2.0,,,,8.0,5.0,6.0,6.0,1.0,1.0,1.0,2.0,5.0,1.0,,6.0,1.0,3.0,4.0,6.0,5.0,2.0,17.0,4.0,13.0,2.0,,1.0,3.0,7.0,4.0,2.0,7.0,4.0,20.0,21.0,22.0,28.0,13.0,6.0,1.0,5.0,1.0,14.0,1.0,6.0,10.0,2.0,,,3.0,4.0,4.0,5.0,10.0,3.0,9.0,1.0
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,
Hyperloop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,,4.0,9.0,11.0,5.0,,,,4.0,1.0,,3.0,,,1.0,2.0,9.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,25.0,3.0,1.0,8.0,3.0,,2.0,,2.0,,4.0,,,1.0,,,,,,,3.0,,,,1.0,2.0,,,,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,4.0,,,,,,,,,,1.0,3.0,2.0,,,1.0,,,,,2.0,,,,,,,,,3.0,,,4.0,6.0,6.0,2.0,1.0,1.0,8.0,9.0,,,2.0,,,5.0,1.0,3.0,,,2.0,7.0,2.0,2.0,3.0,,1.0,5.0,,49.0,5.0,3.0,2.0,1.0,6.0,,3.0
Intelligent toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,3.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,10.0,,,,5.0,,,,1.0,3.0,7.0,,,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,,3.0,1.0,6.0,2.0,,,1.0,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,,7.0,,1.0,2.0,1.0,,,,,3.0,1.0,,,,,,,,1.0,,
