,for,can,could,use,will,sum_verbs,RB,RBR,RBS,VB,VBG,VBP,VBZ,JJ,Names
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2,0.0,"['Felix', 'Williamswho', 'VC']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,"['AI', 'B']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,['Capital']
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Boeing']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Series', 'C']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,2,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['Geely', 'Ecarxeyes', 'China']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,['Ventures']
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,"['Systems', 'Series']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,['Ukraine']
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,"['Startup', 'Selling', 'Tech', 'Make', 'Call', 'Center', 'Workers', 'Sound', 'Like', 'White', 'Americans']"
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,"['New', 'Zealand']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,[None]
0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,1,0.0,"['Manchin', 'Schumer']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,"['Mthis', 'VC']"
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,"['South', 'Florida']"
0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,['US']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,['CA']
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,"['Supersmeller', 'Detect', 'Scent', 'Parkinson', 'Experimental', 'Test', 'Illness']"
0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,1,1,1,0.0,['US']
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,1,0,0.0,['AI']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,['America']
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,2,0,0.0,['MIT']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,"['HIV', 'Crispr']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['HIV']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,0,2,0.0,[None]
0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Cancer', 'Fighting', 'Version', 'Herpes', 'Shows', 'Promise', 'Early', 'Human', 'Trial']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Stretchy', 'Electronics', 'Help', 'Us', 'Stay', 'Healthy', 'Safe']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,1,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Mednet']
0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,['Parkinson']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,"['UCLA', 'Fielding', 'School', 'Public', 'Health']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['U', 'Selected', 'COVIDhealth']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,0,0,1,0.0,['AI']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Omicron']
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Merck']
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,"['Making', 'Easier', 'Tell', 'Difference', 'Real', 'Doctors', 'Quacks']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Report', 'Shows', 'Decline', 'US', 'Cancer', 'Deaths', 'Continues']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['Built']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Colonoscopy', 'Screening', 'Risks', 'Colorectal', 'Cancer', 'Related', 'Death']"
0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Wearable', 'Ultrasound', 'Sticker', 'Continuously', 'Image', 'Organs']"
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,2,0,0,0.0,['UK']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2,0.0,"['Apple', 'Watch']"
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,"['U', 'Slast']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,0,0,0.0,['Asian']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,"['BENDLAYD', 'Bendable', 'Printing', 'Filament', 'Use', 'Make', 'ClearFlexible', 'Straps', 'Bands']"
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,2,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Muscles', 'Woven', 'Smart', 'Textiles', 'Could', 'Make', 'Clothing', 'Hyperfunctional']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,"['AMP', 'Robotics']"
0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['Utah']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['Japan']
0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,[None]
0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,['Dynamics']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['University', 'Vows', 'Buildnm', 'Chipmaking', 'Tools']"
0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,"['AMP', 'Robotics']"
0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,"['Great', 'Lakes']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Aquafil']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Printing', 'Builds', 'Programmable', 'Matter']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,"['Robots', 'California']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['DARPA']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,"['Robots', 'Successfully', 'Cleared', 'Pneumonia', 'Lungs', 'Mice']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,"['UK', 'Magical', 'Mushroom', 'Company']"
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,2,0,2,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,2,0,0.0,[None]
0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,1,0,0.0,['Chinese']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,"['TwitElon', 'Musksignals', 'Vine']"
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,1,0,1,0.0,"['Pitless', 'Cherries', 'Softer', 'KaleThis', 'Startup', 'Using', 'CRISPR', 'Make', 'Better', 'Produce']"
0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['Mexican', 'Grill', 'California']"
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,['Rakuten']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,"['Internet', 'Trees']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,['Foods']
0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,1,0,0.0,['NUS']
0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2,0,1,0,0.0,['Farmerline']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,['Meat']
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,"['John', 'Deere']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,2,0.0,['CMU']
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,0,2,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,1,2,1,0.0,['VC']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['OneEmirate', 'Dubai']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['UK']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,"['NASA', 'James', 'Webb', 'Space', 'Telescope']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,0,2,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,"['NASA', 'Webb', 'Space', 'Telescope', 'GoodWe', 'Might', 'Need', 'Improved', 'Planetary', 'Models']"
0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,0,0,1,0.0,"['GPS', 'SpaceX']"
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,1,1,0,0.0,['GPS']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,['NASA']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,[None]
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['NASA', 'Moon']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['NASA', 'Voyager']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,2,0.0,"['USB', 'SuperSpeed']"
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,0,2,0.0,['DART']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['NASA', 'DART']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['James', 'Webb', 'Space', 'Telescope']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,"['NASA', 'DART']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Space', 'Momentus']"
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,1,0,0,0.0,"['SpaceX', 'Starlink']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,0.0,"['Scientist', 'Mathematically', 'Proved', 'Alien', 'Life', 'Universe', 'Likely', 'Exist']"
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,1,1,0.0,"['NASA', 'Artemis', 'Septemberrd']"
0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1,0,1,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,"['NASA', 'Artemis']"
