y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Life-cycle assessment,5.0,63.0,72.0,75.0,107.0,113.0,113.0,135.0,189.0,247.0,294.0,423.0,454.0,580.0,602.0,646.0,670.0,678.0,666.0,702.0,785.0,349.0
Liquid Crystal Elastomers,1.0,14.0,13.0,14.0,14.0,23.0,21.0,24.0,19.0,35.0,30.0,40.0,44.0,57.0,76.0,81.0,53.0,50.0,44.0,36.0,40.0,12.0
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,14.0,12.0,7.0,16.0,19.0,20.0,10.0,29.0,24.0,32.0,28.0,39.0,39.0,44.0,58.0,76.0,89.0,130.0,156.0,153.0,67.0
Radio-frequency identification,,13.0,24.0,71.0,127.0,312.0,580.0,890.0,1002.0,1242.0,1237.0,1300.0,1276.0,1269.0,1062.0,888.0,812.0,700.0,674.0,633.0,474.0,220.0
Robot end effector,,4.0,4.0,4.0,,4.0,3.0,6.0,4.0,6.0,6.0,8.0,13.0,12.0,16.0,12.0,19.0,15.0,19.0,18.0,11.0,4.0
self assembly,19.0,129.0,164.0,181.0,254.0,269.0,375.0,408.0,501.0,662.0,755.0,922.0,969.0,1016.0,1135.0,1099.0,1156.0,1194.0,1213.0,1208.0,1170.0,350.0
Self-reconfiguring modular robot,,4.0,3.0,6.0,8.0,3.0,3.0,15.0,16.0,10.0,11.0,25.0,9.0,17.0,15.0,7.0,11.0,15.0,11.0,18.0,9.0,6.0
Smart highway,,5.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,6.0,6.0,7.0,6.0,6.0,5.0,12.0,12.0,16.0,12.0,15.0,12.0,7.0
Structural health monitoring,,33.0,40.0,63.0,92.0,109.0,147.0,153.0,153.0,216.0,213.0,256.0,294.0,317.0,299.0,372.0,307.0,364.0,311.0,347.0,312.0,158.0
Supertall building,,,,,,,,,,,2.0,3.0,1.0,1.0,,,1.0,3.0,2.0,,2.0,2.0
utility fog,,,,,,,,,,,,1.0,,1.0,,,,,,,,
Adaptive Learning Technology,,,,,2.0,,,,,,,,1.0,2.0,2.0,,1.0,,4.0,1.0,6.0,1.0
Augmented learning,,,,1.0,3.0,1.0,,1.0,6.0,1.0,3.0,3.0,7.0,3.0,9.0,4.0,6.0,5.0,2.0,6.0,3.0,1.0
Gamifying education,,,3.0,4.0,4.0,11.0,22.0,30.0,55.0,55.0,79.0,132.0,152.0,249.0,386.0,573.0,694.0,723.0,824.0,910.0,825.0,346.0
Intelligent tutoring system,,20.0,30.0,47.0,53.0,59.0,57.0,62.0,75.0,57.0,61.0,60.0,59.0,52.0,70.0,64.0,53.0,57.0,51.0,47.0,27.0,13.0
