y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Edge enhancement,2.0,8.0,6.0,11.0,12.0,9.0,18.0,14.0,19.0,13.0,30.0,15.0,15.0,16.0,24.0,20.0,23.0,10.0,15.0,13.0,16.0,7.0
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,1.0,5.0,3.0,10.0,19.0,22.0,13.0,28.0,23.0,18.0,28.0,26.0,30.0,15.0,5.0
Extreme ultraviolet lithography,,27.0,32.0,42.0,39.0,43.0,55.0,56.0,53.0,33.0,39.0,47.0,44.0,50.0,48.0,44.0,36.0,53.0,29.0,43.0,32.0,24.0
Facial recognition,11.0,90.0,112.0,185.0,222.0,296.0,353.0,389.0,415.0,479.0,508.0,551.0,642.0,663.0,686.0,748.0,665.0,678.0,751.0,753.0,718.0,334.0
General-purpose computing on graphics processing units,,,4.0,,1.0,4.0,10.0,16.0,23.0,50.0,72.0,132.0,143.0,121.0,145.0,113.0,111.0,83.0,68.0,66.0,42.0,14.0
GPT-4,,,,,,,,,2.0,,,,,,,,,2.0,2.0,1.0,4.0,9.0
Haptic technology,1.0,28.0,35.0,36.0,60.0,43.0,53.0,73.0,83.0,79.0,102.0,86.0,98.0,127.0,87.0,87.0,77.0,81.0,93.0,88.0,75.0,26.0
Holographic data storage,,6.0,6.0,12.0,14.0,14.0,16.0,15.0,4.0,16.0,11.0,5.0,9.0,8.0,8.0,7.0,10.0,9.0,5.0,7.0,1.0,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,3.0,1.0,,1.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,14.0,8.0,11.0,14.0,1.0
In-storage processing,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,
Indoor positioning system,,,1.0,1.0,6.0,3.0,2.0,1.0,5.0,10.0,11.0,18.0,16.0,28.0,34.0,41.0,42.0,41.0,48.0,48.0,43.0,8.0
Internet of things,,1.0,1.0,1.0,1.0,5.0,6.0,3.0,24.0,32.0,201.0,505.0,702.0,797.0,837.0,1081.0,1569.0,2016.0,2546.0,2928.0,2886.0,1491.0
Li-Fi,,,,,,,,1.0,1.0,,1.0,,,4.0,9.0,23.0,36.0,35.0,57.0,46.0,57.0,21.0
Machine translation,,56.0,115.0,119.0,141.0,165.0,195.0,190.0,234.0,273.0,303.0,347.0,340.0,343.0,339.0,337.0,403.0,404.0,514.0,619.0,594.0,216.0
Machine vision,1.0,60.0,76.0,62.0,91.0,110.0,116.0,152.0,161.0,167.0,217.0,233.0,206.0,234.0,209.0,200.0,178.0,208.0,196.0,263.0,289.0,145.0
Nanoradio,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,
Natural Language Processing,1.0,65.0,111.0,121.0,169.0,148.0,215.0,242.0,261.0,295.0,364.0,325.0,441.0,434.0,518.0,627.0,697.0,826.0,1122.0,1448.0,1680.0,862.0
Neural Networks,93.0,1802.0,2035.0,2172.0,2720.0,3010.0,3412.0,3598.0,3745.0,4343.0,4620.0,4633.0,4786.0,5009.0,5321.0,5405.0,6254.0,7608.0,10291.0,12835.0,14507.0,6978.0
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,3.0,11.0,9.0,18.0,28.0,15.0,23.0,20.0,37.0,21.0,28.0,14.0,29.0,25.0,31.0,31.0,43.0,46.0,49.0,68.0,23.0
Optical computing,,9.0,5.0,2.0,8.0,7.0,8.0,11.0,7.0,8.0,10.0,6.0,25.0,24.0,25.0,27.0,21.0,25.0,9.0,24.0,31.0,14.0
Quantum algorithm,1.0,11.0,12.0,20.0,15.0,23.0,19.0,16.0,35.0,24.0,22.0,27.0,21.0,19.0,33.0,37.0,34.0,50.0,37.0,67.0,88.0,37.0
Quantum computing hardware,1.0,58.0,82.0,96.0,116.0,135.0,140.0,135.0,144.0,139.0,150.0,175.0,212.0,189.0,219.0,250.0,271.0,283.0,398.0,443.0,508.0,323.0
Quantum cryptography,2.0,22.0,25.0,28.0,42.0,42.0,39.0,41.0,32.0,69.0,52.0,61.0,54.0,60.0,48.0,56.0,43.0,66.0,66.0,75.0,75.0,28.0
Semantic Web,,33.0,139.0,230.0,411.0,584.0,703.0,691.0,802.0,827.0,859.0,814.0,721.0,636.0,631.0,560.0,533.0,423.0,372.0,352.0,222.0,72.0
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,6.0,4.0,17.0,15.0,31.0,42.0,67.0,155.0,478.0,835.0,1237.0,1600.0,1866.0,2128.0,2272.0,2666.0,2748.0,2739.0,955.0
Spatial computing,,,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,7.0,15.0,7.0,8.0,8.0,3.0,6.0,3.0,4.0,5.0,5.0
Streaming television,,4.0,2.0,1.0,1.0,6.0,2.0,,5.0,6.0,3.0,11.0,13.0,10.0,7.0,4.0,11.0,10.0,3.0,3.0,5.0,2.0
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,13.0,13.0,10.0,13.0,30.0,35.0,54.0,88.0,106.0,143.0,182.0,202.0,284.0,325.0,304.0,325.0,360.0,396.0,404.0,300.0,152.0
Virtual reality applications,,30.0,31.0,32.0,50.0,37.0,28.0,45.0,40.0,46.0,58.0,45.0,34.0,42.0,27.0,41.0,52.0,72.0,88.0,100.0,107.0,51.0
Visible Light Communication,,,,,1.0,1.0,3.0,7.0,4.0,7.0,9.0,24.0,25.0,47.0,67.0,101.0,95.0,133.0,125.0,122.0,146.0,41.0
wi-fi 6,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0
wi-fi 7,,,,,,,,,,,,,,,,,,1.0,,,1.0,
AI Arbitration,,,,,,,,,,,,,,,,,,1.0,,,,
Digital forensics tools,,,,,1.0,,,1.0,,3.0,3.0,,3.0,4.0,5.0,,3.0,,2.0,3.0,4.0,1.0
Document automation,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,
Intelligent Knowledge Management,,,,1.0,1.0,1.0,,1.0,2.0,2.0,4.0,,2.0,,2.0,3.0,,2.0,,1.0,1.0,
Aerogel,1.0,42.0,26.0,47.0,44.0,58.0,58.0,55.0,69.0,85.0,73.0,71.0,89.0,113.0,143.0,172.0,168.0,230.0,235.0,302.0,313.0,146.0
Amorphous metal,,18.0,22.0,26.0,33.0,37.0,54.0,72.0,58.0,80.0,98.0,109.0,99.0,102.0,106.0,129.0,111.0,112.0,141.0,108.0,150.0,52.0
Bioplastic,,,1.0,,,1.0,3.0,5.0,2.0,8.0,6.0,18.0,12.0,21.0,23.0,30.0,33.0,41.0,76.0,70.0,82.0,41.0
Carbon nanotube,22.0,379.0,571.0,726.0,1042.0,1117.0,1448.0,1627.0,1876.0,2163.0,2612.0,2798.0,2655.0,2841.0,2651.0,2746.0,2691.0,2703.0,2381.0,2485.0,2357.0,850.0
Conductive polymer,2.0,44.0,41.0,45.0,61.0,75.0,88.0,95.0,80.0,100.0,117.0,117.0,133.0,128.0,130.0,126.0,141.0,177.0,128.0,137.0,136.0,49.0
Cryogenic treatment,,2.0,2.0,3.0,3.0,5.0,3.0,7.0,12.0,8.0,15.0,16.0,21.0,28.0,23.0,8.0,15.0,24.0,14.0,18.0,19.0,7.0
Dynamic Armor,,,,,,,,1.0,,,,,,,1.0,,,,,,,
Eutectic system,,9.0,11.0,8.0,9.0,14.0,16.0,15.0,9.0,17.0,12.0,21.0,17.0,15.0,23.0,21.0,22.0,18.0,16.0,18.0,24.0,4.0
Fast-ion Conductors,,1.0,,1.0,,1.0,3.0,1.0,,1.0,1.0,3.0,2.0,,1.0,,3.0,3.0,1.0,2.0,2.0,
Fullerene,18.0,143.0,141.0,168.0,168.0,199.0,223.0,230.0,255.0,303.0,342.0,340.0,358.0,399.0,435.0,389.0,466.0,462.0,366.0,435.0,386.0,143.0
Gallium Nitride semiconductor,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,
Graphene,1.0,18.0,29.0,23.0,31.0,54.0,123.0,300.0,539.0,937.0,1650.0,2410.0,3251.0,3897.0,4725.0,5170.0,5561.0,5878.0,5912.0,6237.0,6025.0,2239.0
Graphene Oxide dough,,,,,,,,,7.0,7.0,48.0,126.0,203.0,326.0,474.0,621.0,810.0,918.0,1004.0,1120.0,1266.0,402.0
High Entropy Alloys,,,,,,2.0,2.0,1.0,3.0,1.0,2.0,4.0,7.0,10.0,15.0,40.0,35.0,71.0,72.0,104.0,134.0,79.0
Magnetic nanoparticles,1.0,12.0,9.0,30.0,37.0,42.0,69.0,86.0,114.0,179.0,213.0,246.0,305.0,366.0,362.0,425.0,388.0,401.0,365.0,437.0,501.0,130.0
Magnetorheological fluid,,6.0,7.0,12.0,15.0,22.0,25.0,24.0,23.0,31.0,30.0,41.0,34.0,40.0,33.0,32.0,38.0,29.0,37.0,41.0,36.0,15.0
Metal foam,,2.0,1.0,9.0,16.0,15.0,19.0,18.0,9.0,23.0,37.0,28.0,36.0,46.0,39.0,61.0,53.0,49.0,46.0,68.0,84.0,35.0
Metamaterial,1.0,,4.0,8.0,21.0,34.0,86.0,114.0,155.0,166.0,228.0,362.0,325.0,363.0,433.0,465.0,524.0,472.0,469.0,518.0,579.0,194.0
Multi-function structure,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,3.0,119.0,150.0,202.0,259.0,349.0,365.0,395.0,433.0,573.0,643.0,739.0,788.0,930.0,875.0,980.0,895.0,1010.0,967.0,1040.0,976.0,325.0
Nanotextured surface,,,,,,,,,1.0,,3.0,1.0,2.0,1.0,3.0,,1.0,,,5.0,3.0,
Photonic Metamaterial,,,,,,,,,,,3.0,3.0,,,,1.0,,1.0,,,,
piezoelectric material adhesion,,,,,,,,,,,,,,,,,,,,,,
Programmable matter,,1.0,,,1.0,,1.0,,1.0,4.0,7.0,11.0,3.0,5.0,7.0,8.0,5.0,12.0,10.0,9.0,7.0,3.0
Quantum dot,15.0,381.0,471.0,500.0,614.0,735.0,741.0,873.0,964.0,1061.0,1197.0,1203.0,1385.0,1360.0,1323.0,1316.0,1256.0,1341.0,1353.0,1405.0,1398.0,488.0
Self-cleaning surfaces,1.0,,2.0,1.0,,2.0,2.0,5.0,12.0,17.0,11.0,5.0,12.0,8.0,13.0,9.0,11.0,11.0,9.0,19.0,18.0,3.0
Shape Memory Polymer,,3.0,1.0,1.0,10.0,6.0,16.0,16.0,10.0,15.0,28.0,18.0,28.0,21.0,32.0,34.0,28.0,29.0,25.0,53.0,50.0,21.0
Shape-memory alloy,3.0,87.0,96.0,95.0,119.0,130.0,151.0,149.0,160.0,164.0,159.0,196.0,182.0,193.0,185.0,176.0,187.0,180.0,200.0,189.0,174.0,80.0
Silicene,,,,,,,,,2.0,,7.0,8.0,39.0,104.0,134.0,145.0,155.0,157.0,152.0,127.0,106.0,33.0
Single Photon Source,,2.0,3.0,5.0,5.0,8.0,11.0,4.0,6.0,12.0,17.0,10.0,25.0,20.0,9.0,15.0,12.0,20.0,31.0,21.0,17.0,6.0
Superalloy,,46.0,57.0,55.0,83.0,62.0,68.0,86.0,83.0,93.0,104.0,154.0,138.0,180.0,183.0,165.0,202.0,202.0,192.0,202.0,215.0,122.0
Superfluidity,2.0,39.0,33.0,36.0,37.0,50.0,47.0,43.0,69.0,75.0,82.0,54.0,71.0,66.0,61.0,67.0,55.0,59.0,60.0,60.0,54.0,22.0
Superlenses chips,,,,,,,,,,,,,,,,,,,,,,
Syntactic Materials,,,,,,,,,,,,,,,,,2.0,,,,,
Time crystal,,2.0,,,2.0,4.0,,,2.0,,2.0,1.0,3.0,,3.0,1.0,3.0,9.0,13.0,17.0,29.0,22.0
Zeolite,8.0,385.0,332.0,366.0,518.0,522.0,509.0,600.0,621.0,693.0,793.0,900.0,802.0,918.0,1025.0,960.0,1007.0,1189.0,1124.0,1110.0,1130.0,441.0
Zero-friction coating,1.0,5.0,9.0,9.0,6.0,9.0,8.0,12.0,19.0,11.0,18.0,10.0,10.0,17.0,21.0,15.0,15.0,25.0,27.0,28.0,25.0,6.0
16K video resolution,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,1.0,74.0,90.0,105.0,164.0,154.0,166.0,190.0,216.0,257.0,295.0,445.0,481.0,593.0,693.0,725.0,745.0,980.0,1203.0,1323.0,1332.0,541.0
Brain-computer interface,5.0,6.0,13.0,34.0,35.0,51.0,71.0,107.0,116.0,187.0,210.0,279.0,234.0,366.0,382.0,396.0,348.0,398.0,468.0,398.0,404.0,164.0
Computer-generated imagery,,1.0,1.0,1.0,,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0
Detecting fake news online automatically,,,,,,,,,,,,,,,,,,,,,,
e-Reader,,,1.0,,1.0,,,,1.0,1.0,11.0,24.0,32.0,10.0,5.0,16.0,6.0,8.0,4.0,1.0,1.0,
Extended Reality,,,,,1.0,,,,1.0,,,,,,,,1.0,,10.0,34.0,49.0,41.0
hydrogen vehicle,,,3.0,,2.0,2.0,1.0,2.0,2.0,11.0,9.0,3.0,7.0,1.0,4.0,1.0,1.0,,2.0,3.0,3.0,1.0
Immersion (virtual reality),,1.0,1.0,3.0,4.0,7.0,7.0,4.0,7.0,14.0,29.0,21.0,19.0,15.0,21.0,22.0,26.0,34.0,46.0,57.0,66.0,30.0
Mixed Reality,,16.0,32.0,31.0,54.0,52.0,60.0,73.0,70.0,95.0,82.0,90.0,80.0,78.0,77.0,66.0,124.0,154.0,189.0,244.0,257.0,103.0
Video tracking,,8.0,6.0,5.0,11.0,14.0,18.0,20.0,15.0,24.0,37.0,44.0,31.0,30.0,30.0,25.0,51.0,38.0,31.0,39.0,36.0,12.0
Virtual reality,25.0,544.0,551.0,636.0,766.0,763.0,883.0,916.0,1000.0,1119.0,1219.0,1274.0,1135.0,1290.0,1266.0,1282.0,1406.0,1915.0,2369.0,2779.0,2849.0,1035.0
3D Bioprinting,,,,,,,,,,,,1.0,,6.0,10.0,38.0,68.0,120.0,150.0,143.0,229.0,82.0
Anti-degenerative medicine,,,,,,,,,,,,,,,,,,,,,,
Apheresis,18.0,26.0,34.0,36.0,45.0,37.0,54.0,45.0,44.0,82.0,85.0,93.0,115.0,111.0,122.0,106.0,115.0,110.0,110.0,134.0,127.0,36.0
Artificial womb,,,,,,,2.0,1.0,3.0,4.0,,,,,,,,3.0,9.0,8.0,5.0,1.0
Bio Ink,31.0,145.0,155.0,179.0,261.0,280.0,294.0,347.0,405.0,515.0,782.0,840.0,907.0,1017.0,1202.0,1225.0,1367.0,1588.0,1553.0,1652.0,1823.0,610.0
Biomimetic Nanocoagulation,,,,,,,,,,,,,,,,,,,,,,
Biosensor,38.0,114.0,147.0,165.0,215.0,254.0,299.0,365.0,429.0,520.0,671.0,757.0,737.0,733.0,835.0,905.0,857.0,980.0,1047.0,1135.0,1158.0,395.0
Breath analysis,2.0,4.0,7.0,2.0,13.0,8.0,8.0,15.0,3.0,14.0,26.0,30.0,47.0,61.0,58.0,67.0,52.0,55.0,77.0,50.0,60.0,19.0
Cancer biomarker,,1.0,1.0,6.0,10.0,12.0,14.0,20.0,25.0,39.0,95.0,91.0,87.0,122.0,141.0,143.0,130.0,138.0,103.0,147.0,157.0,47.0
Capsule endoscopy,,2.0,7.0,20.0,33.0,33.0,33.0,31.0,43.0,71.0,78.0,77.0,79.0,100.0,89.0,104.0,105.0,101.0,105.0,74.0,93.0,35.0
Cortical implant,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,3.0,,1.0,
De-extinction,,,,,,,,,,,,,,3.0,12.0,8.0,8.0,26.0,4.0,8.0,1.0,1.0
DNA-templated organic synthesis,,,,,1.0,,,,,,,,,,,,,,,,,
Drug-eluting stent,1.0,1.0,2.0,6.0,12.0,27.0,46.0,48.0,61.0,78.0,92.0,76.0,102.0,112.0,83.0,130.0,138.0,144.0,89.0,91.0,104.0,23.0
Electroanalgesia,,,,,,1.0,2.0,,,1.0,,1.0,,,2.0,,,1.0,,1.0,3.0,
Electronic nose,7.0,26.0,37.0,28.0,29.0,50.0,35.0,44.0,40.0,71.0,62.0,74.0,101.0,90.0,103.0,94.0,77.0,91.0,84.0,104.0,93.0,48.0
Head transplant,,,,,,,,,1.0,,,,,,2.0,3.0,5.0,2.0,3.0,,3.0,
Intelligent toilet,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,1.0,,1.0,
Jet injector,,1.0,2.0,3.0,1.0,3.0,6.0,5.0,,4.0,14.0,5.0,9.0,11.0,9.0,10.0,5.0,1.0,,11.0,3.0,
Lab-on-a-chip,7.0,77.0,123.0,185.0,259.0,315.0,411.0,447.0,519.0,594.0,719.0,722.0,887.0,822.0,768.0,820.0,826.0,742.0,686.0,669.0,668.0,187.0
Microelectromechanical systems,,388.0,494.0,606.0,721.0,811.0,910.0,901.0,939.0,981.0,1012.0,1082.0,995.0,1136.0,1047.0,1006.0,841.0,864.0,880.0,748.0,706.0,304.0
Microfluidics,,29.0,39.0,54.0,95.0,115.0,154.0,169.0,219.0,303.0,413.0,402.0,509.0,644.0,516.0,595.0,745.0,674.0,751.0,818.0,825.0,238.0
Molecular electronics,2.0,16.0,32.0,53.0,44.0,43.0,57.0,51.0,52.0,54.0,66.0,68.0,61.0,66.0,80.0,90.0,61.0,75.0,56.0,58.0,38.0,12.0
Nanorobotics,1.0,,3.0,4.0,5.0,5.0,9.0,15.0,9.0,14.0,18.0,33.0,31.0,27.0,42.0,27.0,30.0,34.0,31.0,35.0,38.0,17.0
Neuron Control,,2.0,1.0,1.0,5.0,5.0,1.0,3.0,2.0,2.0,6.0,4.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,
Neuroprosthetics,,3.0,4.0,5.0,5.0,7.0,9.0,12.0,7.0,17.0,13.0,24.0,22.0,16.0,30.0,23.0,13.0,21.0,29.0,18.0,17.0,7.0
Nutritional genomics,,1.0,2.0,2.0,4.0,5.0,5.0,8.0,13.0,4.0,8.0,8.0,12.0,8.0,8.0,8.0,6.0,16.0,6.0,3.0,13.0,2.0
Omni Processor,,,,,,,,,,,,,,,,,,,,,,
OOKP,1.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,7.0,4.0,2.0,1.0,2.0,3.0,3.0,7.0,
Organ-on-a-Chip,,,,,,,,,,,1.0,,6.0,10.0,2.0,20.0,32.0,62.0,74.0,95.0,135.0,40.0
Photoacoustic imaging,,1.0,1.0,2.0,5.0,5.0,19.0,24.0,16.0,36.0,59.0,76.0,64.0,87.0,94.0,85.0,113.0,149.0,163.0,210.0,222.0,86.0
Plasma Medicine,1.0,24.0,25.0,34.0,47.0,39.0,45.0,40.0,44.0,46.0,66.0,76.0,93.0,83.0,105.0,99.0,122.0,139.0,129.0,148.0,153.0,54.0
Point of care automated analyser,,,,1.0,,2.0,,1.0,,,1.0,1.0,6.0,4.0,2.0,2.0,,1.0,1.0,3.0,4.0,1.0
Portable water purification,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,
Powered exoskeleton,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0,4.0,4.0,6.0,15.0,5.0,20.0,19.0,44.0,38.0,20.0,35.0,7.0
Protein Structure Prediction,3.0,25.0,26.0,22.0,42.0,64.0,51.0,51.0,65.0,89.0,77.0,103.0,88.0,104.0,86.0,82.0,74.0,88.0,78.0,74.0,77.0,35.0
Rapid diagnostic test,1.0,1.0,2.0,1.0,4.0,10.0,2.0,8.0,4.0,7.0,20.0,15.0,26.0,24.0,43.0,38.0,41.0,43.0,50.0,31.0,41.0,17.0
Real-time polymerase chain reaction,2.0,9.0,7.0,25.0,51.0,54.0,70.0,88.0,113.0,152.0,228.0,264.0,301.0,310.0,344.0,317.0,360.0,431.0,438.0,739.0,844.0,208.0
Regenerative Medicine,14.0,48.0,103.0,111.0,182.0,224.0,285.0,354.0,501.0,814.0,1252.0,1472.0,1647.0,1866.0,1946.0,1946.0,2136.0,2064.0,2218.0,2226.0,2580.0,776.0
Sensory substitution,,2.0,3.0,3.0,7.0,6.0,7.0,6.0,8.0,17.0,17.0,11.0,18.0,13.0,26.0,28.0,23.0,12.0,23.0,22.0,18.0,6.0
Single Cell Analysis,6.0,5.0,2.0,7.0,8.0,8.0,9.0,9.0,16.0,22.0,44.0,43.0,50.0,56.0,98.0,77.0,96.0,113.0,115.0,174.0,251.0,62.0
Stasis Chamber,,,,,,,,2.0,,,,,,,,,,,,,,
Synthetic Blood,5.0,16.0,16.0,17.0,20.0,21.0,18.0,29.0,25.0,40.0,31.0,36.0,26.0,48.0,32.0,57.0,35.0,58.0,46.0,46.0,50.0,17.0
Theranostic Wound Care,,,,,1.0,,1.0,2.0,,5.0,6.0,4.0,18.0,56.0,103.0,443.0,916.0,1154.0,1398.0,1484.0,1674.0,523.0
Transdermal optical imaging,,,,,,,,,,,,,,,,,,,2.0,,,
Active camouflage,1.0,16.0,19.0,21.0,38.0,35.0,47.0,45.0,51.0,40.0,48.0,59.0,74.0,55.0,64.0,68.0,72.0,51.0,42.0,49.0,37.0,15.0
Active noise control,1.0,33.0,38.0,45.0,38.0,30.0,36.0,42.0,54.0,36.0,42.0,45.0,56.0,46.0,65.0,47.0,30.0,32.0,30.0,31.0,18.0,7.0
Automatic identification of suspicious activity,,,,,,,,,,,,,,,,,,,,,,
Cloaking device,,,,,,,2.0,3.0,7.0,7.0,5.0,8.0,13.0,15.0,17.0,14.0,10.0,8.0,4.0,10.0,1.0,4.0
Coilgun,,,,1.0,1.0,1.0,3.0,5.0,8.0,9.0,4.0,7.0,11.0,12.0,9.0,7.0,2.0,9.0,4.0,10.0,3.0,4.0
Compact Kinetic Energy Missile,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
DART ammunition,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,2.0,,,3.0,,,1.0,
Delay-line oscillator,,2.0,1.0,,,1.0,,,,1.0,,,4.0,,,,,,2.0,2.0,,
Electrolaser,,,,,,1.0,,,,,,,,,,,,,,,,
Electroshock weapon,,1.0,,,,1.0,2.0,1.0,,,,4.0,2.0,,1.0,,,,,2.0,1.0,
Electrothermal-chemical technology for propellants,,,,,,,,,,,,,,,,,,,,,,
EMP weapon,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,
Explosively pumped flux compression generator,,,,1.0,,,,,,,,,,,,,,,,,,
Force Field,26.0,210.0,232.0,262.0,336.0,356.0,357.0,412.0,443.0,593.0,747.0,769.0,801.0,792.0,898.0,816.0,806.0,821.0,782.0,839.0,848.0,269.0
Homodyne detection,,4.0,8.0,5.0,5.0,8.0,15.0,10.0,17.0,11.0,12.0,11.0,6.0,12.0,12.0,9.0,9.0,17.0,23.0,13.0,11.0,7.0
HPM weapons,,1.0,,4.0,1.0,1.0,,,1.0,2.0,3.0,3.0,4.0,,3.0,,3.0,,1.0,3.0,4.0,1.0
Hypersonic weapon,,1.0,,,,1.0,,1.0,1.0,1.0,5.0,2.0,3.0,5.0,,3.0,3.0,7.0,3.0,4.0,3.0,
Kinetic bombardment,,,,,,,,,,,,,,,,,,,,,,
Kinetic energy penetrator,,,,2.0,,,,1.0,,,2.0,,2.0,,,,,,,,,
Laser weapon,,,5.0,,4.0,3.0,8.0,6.0,6.0,3.0,3.0,9.0,7.0,6.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0
Lidar,18.0,209.0,286.0,346.0,396.0,409.0,588.0,535.0,737.0,813.0,867.0,879.0,1000.0,1037.0,1136.0,1196.0,1347.0,1287.0,1430.0,1448.0,1461.0,633.0
MAHEM,,,,,,,,,,,,,,1.0,,,,,,,,
Metamaterial cloaking,,,,,,,,,,,,,1.0,,,,,,,,,
MGM-166 LOSAT,,,,,,,,,,,,,,,,,,,,,,
Nonlinear metamaterial,,,,,,,,,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,,4.0,
Optical coating,,4.0,,3.0,6.0,2.0,7.0,6.0,4.0,6.0,6.0,8.0,9.0,5.0,4.0,6.0,4.0,4.0,8.0,5.0,4.0,1.0
Optoelectronic oscillator,,,,3.0,,1.0,,,,2.0,4.0,5.0,9.0,14.0,3.0,7.0,5.0,6.0,11.0,11.0,15.0,3.0
Particle-beam weapon,,,,,,,,,,,1.0,,,,,,,,,,,
Plasma stealth,,,1.0,1.0,,,4.0,2.0,2.0,4.0,2.0,,4.0,,1.0,1.0,,3.0,,3.0,1.0,1.0
Pure fusion weapon,,,,,,,,,,,,,,,,,,,,,,
Quadcopter,,,,1.0,5.0,1.0,12.0,24.0,37.0,38.0,75.0,108.0,219.0,285.0,355.0,416.0,476.0,555.0,566.0,564.0,506.0,210.0
Quantum illumination,1.0,28.0,44.0,54.0,50.0,72.0,49.0,75.0,70.0,76.0,90.0,98.0,98.0,128.0,112.0,115.0,147.0,168.0,162.0,159.0,175.0,150.0
Quantum radar,,,,,,,,,,,,1.0,1.0,2.0,6.0,4.0,4.0,4.0,8.0,14.0,15.0,4.0
Railgun,,14.0,4.0,16.0,13.0,14.0,15.0,29.0,26.0,27.0,6.0,37.0,56.0,40.0,30.0,42.0,19.0,24.0,15.0,50.0,18.0,9.0
Sonic weapon,,,,,,,,,,,,,,1.0,,,,1.0,,,,
Swarm robotic platforms,,,,,,,,,,,,,,1.0,,,,,1.0,,,
Swarm robotics,,,,,5.0,11.0,12.0,14.0,21.0,23.0,25.0,28.0,20.0,40.0,42.0,41.0,52.0,48.0,46.0,51.0,63.0,18.0
Teslaphoresis,,,,,,,,,,,,,,,,,,,,,,
Vortex ring gun,,,,,,,,,,,,,,,,,,,,,,
Asteroid mining,,,,,,,,1.0,,1.0,,,,,2.0,5.0,1.0,2.0,5.0,9.0,3.0,1.0
Biomining,,19.0,18.0,31.0,21.0,26.0,36.0,68.0,73.0,73.0,75.0,81.0,96.0,122.0,109.0,146.0,111.0,135.0,129.0,126.0,138.0,41.0
Urban mining,,,,,,,,2.0,,3.0,2.0,2.0,3.0,7.0,14.0,22.0,9.0,14.0,12.0,18.0,27.0,5.0
Closed system drug transfer device,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,
DNA repair,69.0,135.0,126.0,144.0,226.0,213.0,227.0,247.0,290.0,480.0,550.0,575.0,720.0,726.0,746.0,701.0,799.0,782.0,829.0,852.0,951.0,253.0
Electronic cigarette,,1.0,,1.0,1.0,,,6.0,5.0,12.0,22.0,44.0,49.0,139.0,203.0,242.0,370.0,416.0,538.0,723.0,1044.0,239.0
Enzybiotics,,,,,,,,,,1.0,1.0,2.0,4.0,3.0,2.0,2.0,7.0,,5.0,2.0,8.0,1.0
Exhalation delivery system,,,,,,,,,,1.0,3.0,4.0,1.0,4.0,2.0,4.0,8.0,12.0,11.0,14.0,15.0,3.0
Gene Editing,,,,,2.0,4.0,2.0,3.0,6.0,3.0,16.0,19.0,39.0,119.0,319.0,654.0,1160.0,1458.0,1885.0,2165.0,2456.0,755.0
Genome Prime Editing,,,,,,,,,,,,,,,,,,,,,,
ISCOM,,1.0,1.0,1.0,8.0,2.0,2.0,4.0,8.0,9.0,7.0,8.0,3.0,1.0,3.0,3.0,2.0,,3.0,3.0,,
Medicinal fungi,,,2.0,2.0,4.0,3.0,,5.0,6.0,4.0,2.0,4.0,12.0,9.0,16.0,6.0,,1.0,3.0,1.0,10.0,4.0
Microneedle drug delivery,,,,,,,,,,,,1.0,,,,1.0,,,2.0,4.0,,1.0
