y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Robot end effector,,2.0,,4.0,4.0,11.0,3.0,8.0,15.0,4.0,4.0,9.0,10.0,9.0,16.0,9.0,5.0,13.0,34.0,28.0,49.0,
self assembly,9.0,29.0,85.0,82.0,129.0,106.0,131.0,149.0,156.0,228.0,278.0,263.0,254.0,291.0,360.0,380.0,411.0,420.0,372.0,382.0,379.0,
Self-reconfiguring modular robot,,,2.0,,,,,,,,,,,2.0,4.0,2.0,3.0,1.0,5.0,,5.0,
Smart highway,,,,,,,,,,,,,,,,,2.0,3.0,6.0,5.0,36.0,1.0
Structural health monitoring,,,1.0,2.0,,5.0,8.0,12.0,12.0,24.0,22.0,29.0,18.0,21.0,16.0,34.0,28.0,21.0,29.0,35.0,35.0,
Supertall building,,,,,,,,,,,,,,,,,,,,,,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,2.0,,,3.0,1.0,1.0,,2.0,2.0,2.0,4.0,,1.0,,,,,,,
Augmented learning,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,
Gamifying education,,,,,,,,,1.0,,1.0,,2.0,10.0,36.0,35.0,49.0,46.0,54.0,65.0,61.0,
Intelligent tutoring system,1.0,3.0,1.0,,1.0,,2.0,,,2.0,1.0,1.0,1.0,4.0,2.0,,7.0,3.0,3.0,9.0,,
Learning Management System,,,2.0,6.0,3.0,5.0,7.0,21.0,16.0,5.0,14.0,6.0,4.0,22.0,30.0,16.0,11.0,10.0,14.0,13.0,18.0,
Mobile learning,2.0,2.0,6.0,7.0,4.0,5.0,11.0,10.0,15.0,17.0,19.0,21.0,30.0,56.0,55.0,77.0,86.0,113.0,172.0,167.0,257.0,
Virtual Collaborative Learning,,,,,,,,,,,,,,,,,,,,,,
Atomtronics,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,
Biodegradable electronics,,,,,,,,,,,,1.0,,,3.0,,1.0,,3.0,1.0,1.0,
Carbon nanotube field-effect transistor,,,,,,4.0,6.0,1.0,8.0,6.0,19.0,4.0,9.0,7.0,15.0,8.0,11.0,4.0,14.0,7.0,5.0,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,
Dynamic inductive charging,27.0,36.0,82.0,69.0,96.0,111.0,149.0,137.0,158.0,147.0,192.0,218.0,255.0,389.0,533.0,818.0,1063.0,1328.0,1920.0,1788.0,1662.0,12.0
E-textiles,,,,1.0,1.0,2.0,,1.0,5.0,,6.0,3.0,5.0,6.0,6.0,7.0,9.0,8.0,13.0,9.0,10.0,
Electronic skin,,,,,,,,,1.0,1.0,3.0,1.0,7.0,4.0,9.0,7.0,12.0,14.0,20.0,26.0,23.0,
Flexible display,2.0,4.0,4.0,12.0,22.0,17.0,42.0,94.0,80.0,69.0,103.0,98.0,114.0,157.0,196.0,261.0,398.0,507.0,557.0,657.0,663.0,3.0
Flexible electronics,,,,,1.0,1.0,5.0,4.0,7.0,18.0,17.0,20.0,20.0,22.0,35.0,41.0,41.0,58.0,35.0,44.0,69.0,
Flexible organic light-emitting diode,,,2.0,,1.0,,,1.0,,,,2.0,2.0,4.0,5.0,5.0,4.0,9.0,2.0,7.0,9.0,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,24.0,25.0,48.0,66.0,61.0,58.0,71.0,59.0,76.0,73.0,81.0,87.0,104.0,92.0,105.0,102.0,120.0,117.0,139.0,184.0,156.0,1.0
laser diode headlights,54.0,70.0,107.0,131.0,121.0,132.0,120.0,133.0,144.0,128.0,134.0,124.0,130.0,140.0,128.0,180.0,164.0,169.0,140.0,142.0,190.0,1.0
Laser video display,,,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,,,,,,1.0,,1.0,2.0,1.0,1.0
Memristor,,,,,,,,,2.0,3.0,7.0,39.0,44.0,55.0,80.0,85.0,93.0,130.0,125.0,140.0,159.0,
Multi-level converter,,,,,,,,1.0,1.0,2.0,1.0,4.0,4.0,12.0,21.0,21.0,16.0,42.0,32.0,35.0,12.0,
Nanoelectromechanical systems,1.0,1.0,3.0,4.0,7.0,19.0,21.0,25.0,26.0,48.0,61.0,48.0,57.0,68.0,55.0,58.0,42.0,56.0,68.0,39.0,60.0,
Nanosensor,,,,1.0,1.0,7.0,7.0,10.0,12.0,19.0,24.0,24.0,25.0,35.0,26.0,31.0,27.0,32.0,31.0,39.0,36.0,
Optical transistor,1.0,3.0,5.0,5.0,3.0,6.0,7.0,3.0,2.0,3.0,,1.0,,2.0,2.0,1.0,5.0,,1.0,4.0,2.0,
Phonon laser,,,1.0,,,,,,,,1.0,,,,,,,,,,,
Robotic sensing,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,
Solid-state transformer,,,,1.0,,1.0,1.0,6.0,1.0,,3.0,,,1.0,2.0,4.0,6.0,9.0,5.0,,5.0,
Spintronics,,,5.0,6.0,12.0,7.0,19.0,13.0,19.0,26.0,20.0,28.0,28.0,44.0,24.0,43.0,46.0,35.0,42.0,37.0,40.0,
three-dimensional integrated circuit,2.0,1.0,10.0,3.0,3.0,8.0,10.0,8.0,17.0,18.0,18.0,25.0,59.0,56.0,56.0,65.0,67.0,62.0,44.0,39.0,32.0,
Twistronics,,,,,,,,,,,,,,,,,,,,,,
Virtual retinal display,,3.0,5.0,4.0,2.0,,4.0,2.0,5.0,,1.0,,1.0,1.0,,3.0,15.0,9.0,45.0,48.0,83.0,
Volumetric display,1.0,1.0,,,2.0,3.0,5.0,3.0,7.0,6.0,7.0,7.0,8.0,2.0,2.0,8.0,11.0,16.0,10.0,12.0,12.0,
3rd generation solar cell,,,,,,,,,,,,,,,,,,,,,,
Airborne wind turbine,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,3.0,2.0,
Artificial photosynthesis,,2.0,2.0,3.0,2.0,3.0,,2.0,2.0,2.0,,3.0,10.0,4.0,10.0,10.0,14.0,14.0,11.0,19.0,10.0,
Biobattery,,,,,1.0,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,5.0,,1.0,
Biomass to liquid,,,,,,,,,,1.0,1.0,4.0,2.0,8.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,
Coal liquefaction,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,9.0,6.0,14.0,10.0,18.0,20.0,15.0,13.0,15.0,13.0,13.0,11.0,
Combined Cycle Gas Turbine Plant,4.0,12.0,14.0,8.0,13.0,11.0,7.0,12.0,6.0,9.0,11.0,15.0,10.0,27.0,27.0,29.0,47.0,20.0,44.0,23.0,37.0,
concentrated solar power,2.0,1.0,,,,,,,,1.0,6.0,20.0,9.0,20.0,19.0,16.0,13.0,18.0,8.0,11.0,15.0,
CZTS solar cell,,,,,,,,,,,,4.0,9.0,11.0,8.0,6.0,7.0,1.0,6.0,1.0,3.0,
Dye-sensitized solar cell,,,1.0,5.0,6.0,15.0,25.0,26.0,31.0,47.0,70.0,80.0,94.0,92.0,87.0,97.0,85.0,69.0,48.0,39.0,28.0,
Electric vehicle battery fast charge,44.0,61.0,46.0,49.0,54.0,39.0,53.0,44.0,36.0,56.0,83.0,135.0,202.0,252.0,278.0,329.0,394.0,433.0,539.0,642.0,579.0,1.0
Energy harvesting,1.0,3.0,12.0,4.0,11.0,23.0,34.0,33.0,73.0,71.0,102.0,139.0,150.0,192.0,205.0,253.0,261.0,291.0,302.0,345.0,378.0,
Floating Liquefied Natural Gas,1.0,,,,,,1.0,,1.0,1.0,1.0,3.0,,1.0,5.0,5.0,7.0,10.0,9.0,6.0,6.0,
Flywheel energy storage,1.0,1.0,2.0,5.0,5.0,4.0,6.0,2.0,5.0,4.0,12.0,8.0,17.0,16.0,15.0,24.0,19.0,24.0,27.0,19.0,30.0,
Fourth-generation biofuel,,,,,2.0,6.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,3.0,6.0,4.0,10.0,9.0,18.0,
Fusion power,,,2.0,1.0,1.0,1.0,3.0,8.0,3.0,3.0,6.0,11.0,4.0,9.0,5.0,13.0,14.0,10.0,7.0,9.0,11.0,
Gas generator,91.0,134.0,164.0,172.0,225.0,165.0,171.0,165.0,189.0,165.0,218.0,170.0,183.0,233.0,234.0,216.0,214.0,264.0,325.0,262.0,309.0,3.0
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,1.0,
Gasification,83.0,119.0,146.0,137.0,133.0,121.0,137.0,212.0,297.0,410.0,484.0,453.0,527.0,590.0,637.0,733.0,688.0,795.0,1058.0,739.0,921.0,19.0
Generation IV reactor,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,
Grid energy storage,,,,2.0,1.0,,,,1.0,,3.0,1.0,3.0,7.0,10.0,18.0,14.0,22.0,18.0,16.0,36.0,1.0
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,1.0,,,,2.0,,,,,,,,,
Hydrogen fuel,2.0,11.0,29.0,27.0,52.0,48.0,69.0,46.0,59.0,71.0,85.0,85.0,63.0,52.0,100.0,71.0,85.0,78.0,119.0,138.0,278.0,2.0
Lead-cooled fast reactor,,,,,,,,,,,1.0,,,,1.0,,,,,2.0,1.0,
Liquid fluoride thorium reactor,,,,,,,,,,,,,,,,,,,,,,
Liquid metal battery,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,2.0,2.0,4.0,
Lithium ion battery,42.0,46.0,104.0,92.0,98.0,122.0,177.0,217.0,255.0,295.0,436.0,542.0,772.0,834.0,802.0,951.0,1125.0,1174.0,1443.0,1500.0,1979.0,17.0
Lithium iron phosphate battery,,,,,,,,,1.0,,6.0,5.0,8.0,9.0,20.0,4.0,13.0,8.0,5.0,9.0,51.0,1.0
Lithium-air battery,,,,,1.0,1.0,,3.0,4.0,8.0,8.0,10.0,23.0,39.0,46.0,44.0,57.0,54.0,57.0,46.0,68.0,
Lithium-sulfur battery,,,4.0,3.0,6.0,8.0,1.0,,1.0,2.0,1.0,6.0,7.0,11.0,16.0,26.0,23.0,33.0,34.0,53.0,89.0,
Magnesium battery,,,1.0,,,,,1.0,,1.0,1.0,1.0,4.0,11.0,13.0,21.0,14.0,17.0,20.0,15.0,18.0,
Microbial electrolysis cell,,,,,,,,,,,,,2.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,6.0,
Microreactor,2.0,5.0,21.0,44.0,45.0,57.0,49.0,75.0,76.0,71.0,83.0,77.0,78.0,53.0,73.0,84.0,62.0,77.0,70.0,57.0,93.0,
Mini Bioreactors,4.0,6.0,,6.0,3.0,10.0,3.0,7.0,9.0,16.0,20.0,22.0,17.0,37.0,30.0,31.0,31.0,22.0,29.0,35.0,59.0,
Modular Reactors,,,,,,,2.0,,,,1.0,,1.0,1.0,,1.0,3.0,1.0,5.0,2.0,4.0,
Molten salt reactor,,1.0,2.0,1.0,,,,,,1.0,4.0,2.0,6.0,2.0,8.0,3.0,7.0,5.0,8.0,5.0,13.0,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,
Ocean thermal energy conversion,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,7.0,10.0,12.0,14.0,14.0,16.0,9.0,8.0,5.0,5.0,6.0,
Oil detection,5.0,,8.0,3.0,12.0,12.0,18.0,14.0,20.0,17.0,26.0,29.0,32.0,40.0,47.0,37.0,69.0,45.0,66.0,72.0,80.0,1.0
Optical rectenna,1.0,1.0,2.0,2.0,3.0,5.0,11.0,8.0,6.0,10.0,7.0,6.0,10.0,7.0,18.0,15.0,11.0,18.0,26.0,11.0,19.0,
Organic solar cell,,,1.0,1.0,4.0,5.0,10.0,10.0,8.0,14.0,14.0,27.0,36.0,46.0,46.0,51.0,47.0,47.0,39.0,59.0,45.0,
Perovskite solar cell,,,,,,,,,,,,,,,1.0,7.0,13.0,34.0,35.0,31.0,47.0,
Power-to-X,,,,,,,,1.0,,,,,,,,,,1.0,,,,
Proton Battery,,,,,,,,,,,1.0,,1.0,,2.0,,,3.0,2.0,4.0,1.0,
Quantum dot solar cell,,,,,,,,,,,1.0,1.0,3.0,2.0,3.0,6.0,5.0,4.0,1.0,1.0,,
second-generation biofuels,,,,,,,,,4.0,10.0,14.0,17.0,20.0,28.0,33.0,38.0,33.0,23.0,16.0,22.0,16.0,
Smart grid,,,,,1.0,2.0,,1.0,1.0,5.0,13.0,51.0,98.0,96.0,114.0,157.0,124.0,115.0,102.0,128.0,109.0,
Sodium-cooled fast reactor,,,,,,,,,7.0,8.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,1.0,5.0,6.0,
Space-based solar power,5.0,,1.0,2.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,,1.0,2.0,3.0,3.0,3.0,6.0,4.0,3.0,5.0,
Supercapacitor,11.0,19.0,39.0,36.0,32.0,42.0,58.0,46.0,56.0,84.0,112.0,125.0,125.0,169.0,171.0,238.0,282.0,312.0,334.0,311.0,288.0,
Supercritical water reactor,,,,,,,1.0,,,1.0,,,1.0,1.0,3.0,,3.0,3.0,10.0,5.0,4.0,
Third-generation biofuels,,,,,,,,,,,,2.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,,
Thorium fuel cycle,,,2.0,,,,,,1.0,,,,,,2.0,,1.0,1.0,1.0,,1.0,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,,2.0,5.0,4.0,5.0,10.0,
Virtual power Plant,,,,,1.0,,,,,1.0,,1.0,3.0,4.0,5.0,6.0,16.0,10.0,9.0,8.0,52.0,
Vortex engine,,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,2.0,,,
Wireless power transfer,1.0,3.0,3.0,1.0,3.0,2.0,2.0,6.0,8.0,21.0,66.0,77.0,203.0,230.0,302.0,361.0,462.0,594.0,701.0,704.0,605.0,
Zero-energy building,,,,,,,,,,1.0,,,5.0,,1.0,,,,,2.0,1.0,
Automated journalism,,,,,,,,,,,,,,,,,,,2.0,,,
Foundation garment,2.0,,,1.0,1.0,2.0,,,,2.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,4.0,3.0,6.0,,
Haptic feedback systems,47.0,73.0,116.0,115.0,149.0,163.0,174.0,168.0,201.0,198.0,261.0,257.0,246.0,321.0,436.0,430.0,447.0,527.0,607.0,774.0,788.0,1.0
Wearable journalism,1.0,3.0,12.0,18.0,12.0,7.0,21.0,16.0,25.0,20.0,20.0,26.0,35.0,59.0,189.0,502.0,865.0,1325.0,1647.0,1840.0,1912.0,1.0
Cryptocurrency,1.0,2.0,1.0,,5.0,4.0,21.0,32.0,16.0,29.0,15.0,13.0,40.0,43.0,55.0,79.0,92.0,149.0,154.0,313.0,536.0,1.0
Stablecoin,,,,,,,,,,,,,,,,,,,,1.0,3.0,
Companion robot,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,3.0,7.0,2.0,8.0,12.0,11.0,
Cryonics,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,
Extreme Life extension,53.0,62.0,80.0,98.0,91.0,116.0,88.0,88.0,87.0,115.0,137.0,141.0,196.0,169.0,165.0,177.0,170.0,184.0,199.0,220.0,229.0,
Suspended animation,1.0,1.0,1.0,,,3.0,,2.0,8.0,4.0,2.0,6.0,9.0,3.0,5.0,7.0,5.0,6.0,2.0,4.0,2.0,
5D DVD,,,,,,,,,,,,,,,,,,,,,,
5g,30.0,32.0,42.0,45.0,61.0,66.0,61.0,82.0,79.0,86.0,122.0,94.0,100.0,150.0,225.0,221.0,313.0,560.0,1244.0,2637.0,5129.0,17.0
6G,46.0,20.0,41.0,52.0,52.0,48.0,67.0,57.0,60.0,74.0,82.0,92.0,109.0,156.0,163.0,148.0,179.0,202.0,203.0,270.0,294.0,
Ambient intelligence,,2.0,2.0,6.0,18.0,28.0,14.0,25.0,47.0,29.0,44.0,22.0,41.0,29.0,13.0,26.0,35.0,34.0,34.0,35.0,29.0,
Artificial brain,,,,,,,,1.0,3.0,,,1.0,3.0,3.0,4.0,1.0,1.0,5.0,9.0,11.0,4.0,
Artificial general intelligence,61.0,90.0,218.0,291.0,283.0,311.0,345.0,351.0,419.0,378.0,464.0,463.0,477.0,544.0,606.0,596.0,611.0,840.0,1756.0,3736.0,6994.0,18.0
Atmospheric satellite,,,,,,,,,,,,,,,,,,,,,,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,1.0,,1.0,1.0,2.0,,,1.0,5.0,24.0,88.0,289.0,733.0,1367.0,2144.0,2630.0,3613.0,4951.0,6350.0,7499.0,9738.0,17.0
Compressive Sensing,,,,,,,2.0,3.0,15.0,9.0,18.0,32.0,59.0,112.0,144.0,134.0,135.0,135.0,134.0,139.0,105.0,1.0
Deep learning,,,,2.0,1.0,,,,1.0,1.0,,2.0,2.0,4.0,20.0,75.0,163.0,831.0,2227.0,5161.0,8774.0,29.0
deep trench capacitor,1.0,4.0,4.0,5.0,4.0,8.0,6.0,9.0,6.0,4.0,2.0,6.0,3.0,1.0,3.0,6.0,2.0,6.0,6.0,6.0,2.0,
Digital image processing,569.0,1030.0,1625.0,1894.0,2129.0,2380.0,2730.0,2645.0,2912.0,3247.0,3505.0,3591.0,4177.0,4569.0,4470.0,4759.0,4793.0,4841.0,5388.0,6245.0,7291.0,8.0
Digital image segmentation,,,2.0,1.0,,2.0,1.0,,1.0,2.0,2.0,3.0,3.0,2.0,,,,1.0,2.0,3.0,,
Distributed ledger,,,,,,,,,,,,,,,2.0,5.0,18.0,184.0,547.0,1560.0,2954.0,2.0
DNA Computing,1.0,1.0,1.0,4.0,2.0,5.0,2.0,5.0,1.0,14.0,3.0,6.0,8.0,,7.0,4.0,6.0,8.0,5.0,14.0,10.0,
DNA digital data storage,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,
Edge Computing,,,2.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,1.0,,,,,5.0,18.0,18.0,46.0,134.0,372.0,2.0
Edge enhancement,11.0,12.0,29.0,40.0,27.0,40.0,41.0,38.0,39.0,47.0,52.0,47.0,54.0,50.0,56.0,49.0,45.0,45.0,42.0,39.0,39.0,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,,,,,1.0,2.0,,2.0,1.0,4.0,5.0,4.0,1.0,3.0,
Extreme ultraviolet lithography,12.0,20.0,31.0,33.0,41.0,45.0,52.0,48.0,42.0,44.0,47.0,70.0,78.0,96.0,91.0,123.0,117.0,126.0,109.0,95.0,128.0,
Facial recognition,8.0,13.0,45.0,67.0,71.0,91.0,139.0,173.0,213.0,223.0,228.0,284.0,371.0,457.0,567.0,591.0,681.0,765.0,985.0,1286.0,2104.0,12.0
General-purpose computing on graphics processing units,,,,1.0,,1.0,,,4.0,6.0,5.0,12.0,11.0,39.0,37.0,35.0,48.0,48.0,118.0,116.0,161.0,
GPT-4,,,,,,,,,,,,,,,,,,,,,,
Haptic technology,12.0,10.0,27.0,17.0,14.0,27.0,28.0,37.0,29.0,42.0,59.0,62.0,55.0,74.0,99.0,83.0,122.0,120.0,118.0,123.0,127.0,
Holographic data storage,3.0,3.0,4.0,11.0,15.0,18.0,17.0,24.0,15.0,24.0,34.0,32.0,32.0,12.0,10.0,6.0,3.0,9.0,1.0,2.0,2.0,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,,,,,,,3.0,1.0,2.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,3.0,11.0,8.0,9.0,14.0,
In-storage processing,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,
Indoor positioning system,,,,1.0,,2.0,2.0,2.0,8.0,5.0,6.0,5.0,5.0,8.0,9.0,13.0,28.0,41.0,44.0,33.0,46.0,
Internet of things,,,,,,1.0,1.0,,,,10.0,94.0,235.0,397.0,317.0,642.0,537.0,1312.0,2743.0,2717.0,3286.0,29.0
Li-Fi,,,1.0,1.0,2.0,,,,,,,,,,4.0,7.0,20.0,13.0,38.0,42.0,45.0,
Machine translation,18.0,20.0,37.0,44.0,64.0,76.0,87.0,83.0,110.0,156.0,162.0,146.0,186.0,146.0,133.0,162.0,155.0,200.0,240.0,327.0,446.0,2.0
Machine vision,15.0,40.0,80.0,135.0,135.0,134.0,181.0,148.0,178.0,188.0,204.0,221.0,259.0,268.0,300.0,271.0,351.0,365.0,489.0,589.0,797.0,7.0
Nanoradio,,,,,,,,,1.0,2.0,3.0,2.0,,7.0,11.0,8.0,14.0,13.0,6.0,14.0,5.0,
Natural Language Processing,13.0,21.0,35.0,52.0,56.0,72.0,88.0,89.0,113.0,114.0,111.0,116.0,190.0,207.0,299.0,318.0,442.0,551.0,750.0,1321.0,1971.0,2.0
Neural Networks,130.0,199.0,402.0,521.0,533.0,524.0,654.0,710.0,942.0,828.0,999.0,880.0,930.0,1127.0,1220.0,1410.0,1743.0,2888.0,5103.0,9465.0,11840.0,15.0
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,4.0,,1.0,3.0,1.0,9.0,2.0,6.0,1.0,,3.0,22.0,10.0,10.0,10.0,11.0,6.0,7.0,16.0,
Optical computing,6.0,5.0,7.0,8.0,3.0,12.0,11.0,6.0,7.0,9.0,11.0,6.0,14.0,38.0,39.0,35.0,38.0,30.0,24.0,27.0,16.0,
