y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Liquid Crystal Elastomers,1.0,17.0,12.0,22.0,17.0,27.0,25.0,27.0,20.0,42.0,50.0,47.0,47.0,58.0,38.0,55.0,53.0,79.0,47.0,44.0,44.0,14.0
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,2.0,,,,1.0,,2.0,,
Predictive maintenance,,5.0,12.0,8.0,9.0,16.0,17.0,10.0,19.0,19.0,18.0,17.0,26.0,30.0,16.0,41.0,34.0,64.0,86.0,92.0,101.0,45.0
Radio-frequency identification,,14.0,18.0,69.0,125.0,275.0,525.0,755.0,794.0,973.0,1011.0,1081.0,1016.0,1018.0,878.0,776.0,706.0,652.0,635.0,542.0,426.0,186.0
Robot end effector,,1.0,2.0,2.0,,2.0,2.0,5.0,2.0,,2.0,3.0,1.0,8.0,6.0,2.0,2.0,4.0,7.0,5.0,9.0,6.0
self assembly,18.0,183.0,245.0,281.0,307.0,422.0,463.0,518.0,585.0,796.0,933.0,1076.0,1082.0,1292.0,1288.0,1369.0,1337.0,1482.0,1458.0,1396.0,1377.0,405.0
Self-reconfiguring modular robot,,1.0,3.0,1.0,3.0,3.0,8.0,18.0,14.0,9.0,6.0,11.0,10.0,12.0,12.0,13.0,10.0,19.0,6.0,14.0,6.0,4.0
Smart highway,,2.0,,3.0,2.0,8.0,,1.0,,1.0,2.0,3.0,4.0,6.0,1.0,5.0,8.0,6.0,3.0,12.0,9.0,8.0
Structural health monitoring,,25.0,28.0,33.0,56.0,76.0,97.0,102.0,116.0,153.0,169.0,198.0,204.0,210.0,193.0,238.0,232.0,237.0,227.0,218.0,218.0,104.0
Supertall building,,,,,,,,,,,,,,,,,2.0,4.0,,,,
utility fog,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,
Adaptive Learning Technology,,,,,,1.0,,,,,,,,2.0,3.0,,2.0,,2.0,,1.0,
Augmented learning,,,,,,1.0,,1.0,3.0,,2.0,3.0,6.0,2.0,2.0,2.0,7.0,4.0,1.0,3.0,2.0,3.0
Gamifying education,,,,2.0,2.0,7.0,14.0,14.0,23.0,23.0,25.0,51.0,98.0,145.0,221.0,260.0,299.0,367.0,350.0,379.0,365.0,146.0
Intelligent tutoring system,,12.0,10.0,8.0,17.0,17.0,18.0,17.0,23.0,22.0,19.0,17.0,22.0,23.0,22.0,32.0,16.0,30.0,21.0,14.0,9.0,4.0
Learning Management System,,1.0,7.0,6.0,26.0,17.0,21.0,26.0,31.0,42.0,53.0,52.0,55.0,51.0,68.0,67.0,61.0,61.0,57.0,51.0,57.0,26.0
Mobile learning,,59.0,73.0,111.0,150.0,177.0,196.0,263.0,283.0,364.0,421.0,446.0,529.0,612.0,683.0,692.0,675.0,666.0,640.0,622.0,792.0,486.0
Virtual Collaborative Learning,,,,1.0,,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,
Atomtronics,,,,,,,,,,,1.0,2.0,1.0,4.0,8.0,2.0,3.0,2.0,,4.0,2.0,1.0
Biodegradable electronics,,,1.0,,,,,,,,,,,4.0,,,,2.0,1.0,,2.0,1.0
Carbon nanotube field-effect transistor,,,,3.0,6.0,12.0,6.0,3.0,16.0,30.0,29.0,35.0,26.0,25.0,34.0,37.0,31.0,27.0,29.0,33.0,33.0,13.0
Digital scent technology,,,,,,,,,,,,,,1.0,1.0,,,,,,,
Dynamic inductive charging,3.0,47.0,62.0,64.0,76.0,81.0,115.0,110.0,119.0,142.0,212.0,171.0,256.0,277.0,301.0,310.0,336.0,275.0,333.0,362.0,442.0,131.0
E-textiles,,,3.0,6.0,6.0,10.0,15.0,8.0,15.0,9.0,12.0,19.0,17.0,23.0,23.0,41.0,30.0,32.0,47.0,46.0,62.0,28.0
Electronic skin,,,,1.0,,1.0,,,,1.0,,3.0,4.0,9.0,9.0,15.0,12.0,31.0,49.0,62.0,59.0,24.0
Flexible display,,2.0,2.0,3.0,2.0,12.0,15.0,10.0,16.0,18.0,8.0,13.0,13.0,24.0,9.0,10.0,16.0,7.0,13.0,8.0,10.0,3.0
Flexible electronics,,,1.0,3.0,5.0,13.0,13.0,16.0,11.0,34.0,41.0,43.0,68.0,55.0,88.0,96.0,100.0,167.0,152.0,163.0,219.0,78.0
Flexible organic light-emitting diode,,,1.0,1.0,,3.0,2.0,4.0,2.0,,3.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,3.0,3.0,3.0,1.0
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,7.0,86.0,83.0,94.0,109.0,97.0,136.0,117.0,121.0,144.0,163.0,206.0,159.0,194.0,198.0,196.0,196.0,197.0,206.0,226.0,161.0,70.0
laser diode headlights,9.0,84.0,82.0,103.0,114.0,111.0,103.0,146.0,129.0,141.0,143.0,130.0,151.0,126.0,132.0,121.0,131.0,139.0,130.0,124.0,131.0,41.0
Laser video display,,,,,2.0,1.0,2.0,,3.0,1.0,,,1.0,2.0,,,,,,,,
Memristor,,,,,,1.0,,,5.0,29.0,56.0,78.0,110.0,142.0,245.0,242.0,239.0,254.0,307.0,327.0,315.0,144.0
Multi-level converter,,2.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,2.0,9.0,14.0,21.0,31.0,30.0,16.0,26.0,16.0,10.0,25.0,26.0,5.0
Nanoelectromechanical systems,4.0,14.0,17.0,35.0,42.0,50.0,48.0,58.0,91.0,98.0,114.0,102.0,121.0,110.0,93.0,121.0,74.0,84.0,82.0,78.0,82.0,26.0
Nanosensor,,,1.0,2.0,6.0,12.0,12.0,15.0,13.0,20.0,33.0,36.0,33.0,59.0,83.0,84.0,108.0,110.0,108.0,134.0,109.0,36.0
Optical transistor,,,,,2.0,,1.0,,1.0,2.0,2.0,5.0,1.0,,,2.0,,1.0,1.0,1.0,2.0,
Phonon laser,,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,5.0,,3.0,3.0,2.0,2.0,2.0,2.0
Robotic sensing,,,,,1.0,,,,2.0,1.0,,,,,,2.0,,3.0,4.0,1.0,3.0,1.0
Solid-state transformer,,,,,,,,,,2.0,6.0,4.0,7.0,14.0,23.0,19.0,22.0,26.0,31.0,35.0,28.0,19.0
Spintronics,,37.0,46.0,53.0,77.0,87.0,92.0,95.0,129.0,108.0,163.0,200.0,211.0,238.0,239.0,335.0,338.0,347.0,401.0,341.0,405.0,152.0
three-dimensional integrated circuit,,1.0,1.0,2.0,3.0,3.0,7.0,,1.0,15.0,31.0,40.0,55.0,59.0,44.0,35.0,48.0,37.0,24.0,29.0,16.0,4.0
Twistronics,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,14.0,13.0
Virtual retinal display,,,2.0,1.0,,,,,,,,,,,1.0,2.0,,,3.0,,1.0,1.0
Volumetric display,,,2.0,1.0,3.0,3.0,4.0,2.0,4.0,9.0,5.0,4.0,4.0,4.0,4.0,8.0,2.0,2.0,5.0,2.0,4.0,1.0
3rd generation solar cell,,,,,,,,,,,,,,,,,,1.0,,,,
Airborne wind turbine,,,,,,,,,,,,1.0,,3.0,1.0,,,2.0,,1.0,,
