y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Facial recognition,2.0,71.0,85.0,156.0,255.0,323.0,379.0,411.0,477.0,591.0,613.0,637.0,691.0,704.0,726.0,752.0,686.0,671.0,707.0,660.0,661.0,309.0
General-purpose computing on graphics processing units,,1.0,2.0,,2.0,3.0,10.0,14.0,14.0,45.0,50.0,91.0,80.0,93.0,77.0,73.0,70.0,48.0,37.0,43.0,21.0,7.0
GPT-4,,,,,1.0,,,,,,,,,,,,,2.0,,,4.0,4.0
Haptic technology,,11.0,25.0,14.0,34.0,26.0,40.0,39.0,40.0,48.0,59.0,57.0,49.0,62.0,64.0,51.0,64.0,59.0,80.0,54.0,71.0,26.0
Holographic data storage,,8.0,9.0,10.0,18.0,16.0,11.0,22.0,8.0,10.0,12.0,10.0,9.0,3.0,8.0,5.0,1.0,5.0,7.0,5.0,2.0,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,1.0,1.0,,3.0,2.0,1.0,3.0,1.0,3.0,1.0,6.0,8.0,2.0,12.0,3.0,9.0,7.0,11.0,10.0,13.0,11.0,5.0
In-storage processing,,,,,,,,1.0,,1.0,,,,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,
Indoor positioning system,,2.0,,3.0,3.0,,2.0,,3.0,8.0,16.0,11.0,14.0,29.0,29.0,31.0,38.0,29.0,37.0,41.0,19.0,14.0
Internet of things,,,2.0,2.0,,4.0,10.0,11.0,21.0,30.0,176.0,401.0,455.0,647.0,867.0,1309.0,1869.0,2696.0,3402.0,3687.0,3391.0,1649.0
Li-Fi,,,,,1.0,,,2.0,,1.0,,1.0,2.0,8.0,19.0,32.0,54.0,47.0,49.0,50.0,53.0,19.0
Machine translation,,22.0,65.0,56.0,86.0,102.0,121.0,123.0,128.0,148.0,199.0,188.0,188.0,187.0,196.0,171.0,236.0,239.0,333.0,373.0,374.0,136.0
Machine vision,,46.0,45.0,40.0,61.0,71.0,66.0,71.0,107.0,113.0,135.0,165.0,144.0,143.0,140.0,136.0,116.0,151.0,161.0,175.0,180.0,83.0
Nanoradio,,,,,,,,,,,,,,2.0,,,,,,,,
Natural Language Processing,,38.0,54.0,61.0,88.0,102.0,103.0,118.0,122.0,166.0,198.0,179.0,238.0,295.0,287.0,366.0,403.0,507.0,723.0,924.0,1015.0,507.0
Neural Networks,47.0,987.0,1031.0,1160.0,1420.0,1554.0,1722.0,1614.0,1829.0,2069.0,2008.0,1944.0,2049.0,2082.0,2331.0,2687.0,3487.0,4589.0,6796.0,8453.0,9450.0,4367.0
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,1.0,,4.0,3.0,5.0,4.0,4.0,4.0,7.0,4.0,3.0,5.0,1.0,3.0,3.0,9.0,7.0,2.0,8.0,6.0
Optical computing,1.0,8.0,2.0,4.0,8.0,7.0,11.0,5.0,6.0,17.0,22.0,13.0,25.0,21.0,38.0,26.0,25.0,23.0,25.0,29.0,27.0,12.0
Quantum algorithm,1.0,5.0,6.0,16.0,14.0,4.0,10.0,11.0,18.0,19.0,17.0,19.0,20.0,19.0,22.0,16.0,14.0,19.0,24.0,41.0,31.0,16.0
Quantum computing hardware,3.0,50.0,62.0,72.0,78.0,78.0,94.0,108.0,85.0,115.0,96.0,140.0,127.0,122.0,135.0,149.0,177.0,183.0,257.0,301.0,393.0,193.0
Quantum cryptography,1.0,27.0,27.0,30.0,41.0,36.0,28.0,36.0,38.0,45.0,45.0,42.0,54.0,46.0,49.0,61.0,39.0,73.0,63.0,69.0,65.0,24.0
Semantic Web,,47.0,124.0,221.0,344.0,408.0,516.0,518.0,578.0,620.0,609.0,553.0,548.0,488.0,465.0,408.0,372.0,285.0,257.0,223.0,146.0,49.0
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,3.0,3.0,3.0,10.0,18.0,22.0,21.0,32.0,65.0,159.0,461.0,761.0,1029.0,1243.0,1507.0,1526.0,1481.0,1721.0,1622.0,1660.0,530.0
Spatial computing,,2.0,,1.0,2.0,,2.0,1.0,6.0,3.0,,6.0,10.0,9.0,2.0,4.0,4.0,9.0,4.0,4.0,8.0,3.0
Streaming television,,7.0,5.0,2.0,2.0,4.0,3.0,4.0,11.0,7.0,3.0,16.0,6.0,10.0,6.0,4.0,7.0,8.0,,7.0,1.0,3.0
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,7.0,4.0,4.0,7.0,11.0,23.0,43.0,67.0,93.0,118.0,129.0,139.0,183.0,202.0,231.0,227.0,220.0,239.0,218.0,193.0,92.0
Virtual reality applications,,15.0,23.0,21.0,24.0,23.0,11.0,22.0,33.0,21.0,27.0,24.0,23.0,29.0,19.0,31.0,38.0,68.0,97.0,94.0,85.0,33.0
Visible Light Communication,,,,,,,4.0,4.0,3.0,5.0,11.0,15.0,30.0,63.0,75.0,128.0,136.0,153.0,149.0,170.0,143.0,42.0
wi-fi 6,,,,,,,,,,,,,,,,,,1.0,,6.0,11.0,8.0
wi-fi 7,,,,,,,,,,,,,,,,,,,,,5.0,1.0
AI Arbitration,,,,,,,,,,,,,,,,,,,,,,
Digital forensics tools,,,,,,,,3.0,,1.0,,,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,,
Document automation,,2.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,2.0,2.0,1.0,
Intelligent Knowledge Management,,2.0,,,,1.0,,,1.0,5.0,1.0,2.0,3.0,4.0,1.0,,,,,,1.0,
Aerogel,5.0,23.0,15.0,24.0,29.0,36.0,48.0,40.0,55.0,56.0,58.0,79.0,75.0,103.0,131.0,166.0,216.0,232.0,305.0,318.0,326.0,151.0
Amorphous metal,,22.0,16.0,36.0,24.0,47.0,43.0,55.0,42.0,52.0,56.0,54.0,52.0,78.0,59.0,79.0,91.0,71.0,82.0,76.0,83.0,38.0
Bioplastic,,,1.0,1.0,1.0,3.0,2.0,3.0,3.0,8.0,1.0,7.0,10.0,17.0,14.0,13.0,16.0,19.0,35.0,34.0,56.0,37.0
Carbon nanotube,16.0,340.0,471.0,595.0,856.0,971.0,1279.0,1357.0,1556.0,1884.0,2372.0,2480.0,2344.0,2644.0,2567.0,2548.0,2481.0,2537.0,2320.0,2356.0,2248.0,780.0
Conductive polymer,,76.0,67.0,73.0,93.0,96.0,129.0,115.0,117.0,150.0,149.0,178.0,168.0,200.0,210.0,199.0,226.0,191.0,167.0,181.0,178.0,76.0
Cryogenic treatment,,,,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,8.0,9.0,9.0,13.0,12.0,17.0,5.0,14.0,17.0,6.0
Dynamic Armor,,,,,,,,1.0,,,,,,,,,,,,,,
Eutectic system,,3.0,4.0,4.0,4.0,9.0,8.0,10.0,7.0,4.0,16.0,8.0,13.0,12.0,10.0,9.0,7.0,10.0,8.0,18.0,13.0,15.0
Fast-ion Conductors,1.0,3.0,1.0,2.0,1.0,,4.0,2.0,1.0,1.0,,5.0,,1.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0
Fullerene,18.0,168.0,173.0,154.0,174.0,183.0,197.0,217.0,208.0,236.0,364.0,349.0,321.0,396.0,386.0,368.0,406.0,453.0,410.0,453.0,432.0,139.0
Gallium Nitride semiconductor,,,1.0,,,,,,,,,,,1.0,2.0,,,,,1.0,,
Graphene,1.0,5.0,8.0,8.0,15.0,27.0,54.0,147.0,299.0,555.0,1126.0,1996.0,2914.0,3822.0,4712.0,5301.0,5714.0,5881.0,6060.0,6215.0,5977.0,2065.0
Graphene Oxide dough,,,,,,,1.0,1.0,3.0,18.0,83.0,231.0,416.0,709.0,954.0,1255.0,1458.0,1541.0,1709.0,1903.0,1807.0,566.0
High Entropy Alloys,,,,,1.0,1.0,1.0,3.0,2.0,5.0,7.0,4.0,7.0,16.0,30.0,45.0,55.0,93.0,125.0,125.0,190.0,118.0
Magnetic nanoparticles,1.0,10.0,16.0,34.0,38.0,60.0,70.0,96.0,133.0,171.0,222.0,262.0,337.0,391.0,394.0,438.0,501.0,496.0,485.0,502.0,504.0,145.0
Magnetorheological fluid,,6.0,6.0,9.0,9.0,11.0,15.0,19.0,17.0,22.0,19.0,20.0,21.0,24.0,26.0,27.0,13.0,13.0,33.0,34.0,32.0,18.0
Metal foam,,1.0,2.0,3.0,7.0,7.0,8.0,6.0,7.0,6.0,18.0,14.0,19.0,25.0,20.0,24.0,23.0,24.0,19.0,30.0,44.0,20.0
Metamaterial,1.0,1.0,6.0,6.0,17.0,40.0,70.0,114.0,127.0,170.0,211.0,304.0,346.0,368.0,373.0,432.0,500.0,516.0,477.0,537.0,477.0,175.0
Multi-function structure,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,5.0,103.0,117.0,187.0,190.0,253.0,296.0,321.0,355.0,454.0,599.0,709.0,716.0,832.0,835.0,834.0,908.0,928.0,931.0,934.0,939.0,318.0
Nanotextured surface,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,
Photonic Metamaterial,,,,,,,,2.0,,3.0,3.0,6.0,4.0,5.0,2.0,,,1.0,1.0,4.0,1.0,
piezoelectric material adhesion,,,,,,,,,,,,,,,,,,,,,,
Programmable matter,,,,,1.0,2.0,1.0,2.0,1.0,4.0,6.0,9.0,4.0,4.0,4.0,6.0,7.0,12.0,4.0,8.0,6.0,3.0
Quantum dot,14.0,287.0,347.0,383.0,384.0,574.0,607.0,616.0,785.0,903.0,972.0,1197.0,1187.0,1363.0,1313.0,1446.0,1470.0,1636.0,1558.0,1607.0,1573.0,523.0
Self-cleaning surfaces,,,1.0,1.0,1.0,2.0,1.0,5.0,6.0,4.0,13.0,3.0,5.0,6.0,8.0,8.0,9.0,10.0,11.0,8.0,4.0,2.0
Shape Memory Polymer,,,3.0,1.0,4.0,5.0,4.0,14.0,13.0,24.0,21.0,24.0,23.0,34.0,27.0,31.0,37.0,47.0,38.0,44.0,39.0,24.0
Shape-memory alloy,1.0,43.0,60.0,56.0,89.0,96.0,93.0,102.0,113.0,98.0,124.0,118.0,108.0,142.0,135.0,126.0,126.0,122.0,125.0,130.0,145.0,63.0
Silicene,,,,,,,,,2.0,1.0,,3.0,31.0,49.0,61.0,90.0,90.0,76.0,87.0,51.0,68.0,25.0
Single Photon Source,1.0,1.0,4.0,4.0,2.0,10.0,3.0,7.0,8.0,8.0,9.0,7.0,8.0,11.0,11.0,9.0,10.0,24.0,10.0,10.0,5.0,7.0
Superalloy,1.0,25.0,30.0,41.0,45.0,49.0,47.0,41.0,48.0,46.0,70.0,74.0,92.0,66.0,82.0,91.0,91.0,88.0,120.0,114.0,134.0,57.0
Superfluidity,1.0,16.0,22.0,19.0,24.0,25.0,19.0,25.0,25.0,16.0,36.0,28.0,30.0,28.0,35.0,52.0,30.0,47.0,36.0,34.0,18.0,13.0
Superlenses chips,,,,,,,,,,,,,,,,,,,,,,
Syntactic Materials,,,,,,,,,,,1.0,,,,,,,,,,,
Time crystal,,,,1.0,,,,1.0,,1.0,,,1.0,4.0,,2.0,,12.0,14.0,12.0,16.0,7.0
Zeolite,6.0,282.0,215.0,282.0,302.0,310.0,313.0,392.0,374.0,365.0,451.0,479.0,418.0,484.0,526.0,514.0,598.0,633.0,580.0,657.0,770.0,252.0
Zero-friction coating,,6.0,4.0,7.0,12.0,9.0,12.0,12.0,7.0,7.0,14.0,13.0,13.0,11.0,11.0,17.0,9.0,13.0,20.0,17.0,12.0,2.0
16K video resolution,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,1.0,60.0,77.0,92.0,124.0,135.0,123.0,131.0,169.0,194.0,245.0,380.0,373.0,462.0,511.0,538.0,573.0,767.0,942.0,1067.0,1053.0,403.0
Brain-computer interface,6.0,3.0,10.0,27.0,24.0,29.0,49.0,76.0,85.0,109.0,168.0,218.0,205.0,271.0,248.0,279.0,243.0,301.0,295.0,318.0,319.0,118.0
Computer-generated imagery,,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0,3.0,11.0,5.0,7.0,4.0,3.0,6.0,3.0,3.0,5.0,5.0,1.0
Detecting fake news online automatically,,,,,,,,,,,,,,,,,,,,,,
e-Reader,,,,,,,1.0,,1.0,1.0,12.0,15.0,9.0,7.0,7.0,9.0,3.0,5.0,6.0,2.0,,2.0
Extended Reality,,,,,,,,,1.0,,,,,,,,,2.0,27.0,33.0,63.0,25.0
hydrogen vehicle,,1.0,1.0,,,2.0,2.0,1.0,,2.0,3.0,,2.0,1.0,4.0,,1.0,,,1.0,2.0,1.0
Immersion (virtual reality),,,1.0,,2.0,4.0,3.0,3.0,4.0,10.0,9.0,12.0,10.0,5.0,10.0,13.0,20.0,19.0,18.0,28.0,33.0,16.0
Mixed Reality,,19.0,28.0,30.0,43.0,41.0,58.0,55.0,47.0,64.0,58.0,77.0,62.0,40.0,57.0,55.0,85.0,123.0,190.0,206.0,210.0,83.0
Video tracking,,3.0,5.0,6.0,8.0,11.0,11.0,13.0,16.0,21.0,27.0,39.0,19.0,30.0,25.0,34.0,39.0,12.0,31.0,23.0,16.0,7.0
Virtual reality,11.0,279.0,277.0,310.0,357.0,348.0,374.0,396.0,447.0,480.0,528.0,545.0,550.0,632.0,688.0,748.0,1010.0,1249.0,1580.0,1821.0,1805.0,685.0
3D Bioprinting,,,,,,,,,,,2.0,,1.0,4.0,18.0,43.0,82.0,86.0,163.0,161.0,246.0,95.0
Anti-degenerative medicine,,,,,,,,,,,,,,,,,,,,,,
Apheresis,16.0,34.0,28.0,40.0,31.0,38.0,37.0,35.0,32.0,47.0,76.0,58.0,86.0,95.0,108.0,101.0,100.0,100.0,99.0,112.0,104.0,30.0
Artificial womb,,,,1.0,,,3.0,,2.0,3.0,1.0,4.0,1.0,,,1.0,1.0,3.0,7.0,8.0,5.0,1.0
Bio Ink,50.0,150.0,188.0,181.0,255.0,287.0,297.0,385.0,404.0,547.0,806.0,932.0,887.0,995.0,1136.0,1268.0,1532.0,1685.0,1679.0,1789.0,2109.0,663.0
Biomimetic Nanocoagulation,,,,,,,,,,,,,,,,,,,,,,
Biosensor,38.0,126.0,145.0,183.0,252.0,319.0,359.0,470.0,561.0,711.0,876.0,970.0,971.0,1060.0,1108.0,1190.0,1130.0,1198.0,1226.0,1318.0,1349.0,442.0
Breath analysis,,2.0,3.0,1.0,7.0,8.0,7.0,9.0,5.0,17.0,28.0,20.0,28.0,26.0,40.0,43.0,34.0,43.0,36.0,37.0,41.0,13.0
Cancer biomarker,3.0,1.0,4.0,3.0,7.0,8.0,10.0,22.0,21.0,32.0,77.0,82.0,116.0,110.0,111.0,115.0,103.0,94.0,113.0,102.0,122.0,35.0
Capsule endoscopy,1.0,,21.0,37.0,48.0,55.0,53.0,73.0,79.0,103.0,114.0,140.0,143.0,112.0,143.0,129.0,114.0,113.0,102.0,91.0,137.0,46.0
Cortical implant,,,1.0,,1.0,,,,,,,,2.0,3.0,,,,,1.0,,,
De-extinction,,,,,,,,,,,,,,3.0,11.0,7.0,4.0,29.0,7.0,4.0,2.0,1.0
DNA-templated organic synthesis,,,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,
Drug-eluting stent,,,4.0,12.0,20.0,46.0,35.0,65.0,57.0,84.0,117.0,102.0,116.0,108.0,106.0,128.0,126.0,118.0,109.0,111.0,96.0,34.0
Electroanalgesia,1.0,2.0,1.0,,1.0,1.0,,,,2.0,,,,,,1.0,1.0,,2.0,,1.0,
Electronic nose,1.0,20.0,12.0,18.0,23.0,28.0,33.0,25.0,30.0,42.0,37.0,53.0,65.0,48.0,82.0,69.0,67.0,49.0,71.0,61.0,60.0,23.0
Head transplant,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,
Intelligent toilet,,,,,,,,,,,,,,,2.0,,,,,,,
Jet injector,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,1.0,2.0,3.0,4.0,5.0,2.0,6.0,1.0,4.0,7.0,9.0,3.0,3.0
Lab-on-a-chip,2.0,25.0,33.0,39.0,64.0,68.0,82.0,77.0,98.0,136.0,160.0,160.0,187.0,177.0,152.0,151.0,155.0,143.0,130.0,143.0,159.0,33.0
Microelectromechanical systems,,408.0,476.0,654.0,694.0,789.0,876.0,900.0,882.0,1003.0,953.0,1010.0,913.0,986.0,886.0,887.0,783.0,760.0,685.0,654.0,538.0,247.0
Microfluidics,,18.0,28.0,49.0,70.0,106.0,135.0,157.0,257.0,302.0,402.0,433.0,464.0,532.0,505.0,567.0,582.0,615.0,668.0,787.0,706.0,208.0
Molecular electronics,,19.0,36.0,37.0,80.0,45.0,48.0,44.0,43.0,57.0,53.0,53.0,50.0,42.0,63.0,65.0,43.0,62.0,60.0,35.0,40.0,8.0
Nanorobotics,,2.0,3.0,5.0,5.0,6.0,10.0,9.0,9.0,21.0,26.0,20.0,30.0,20.0,26.0,15.0,28.0,42.0,34.0,27.0,66.0,17.0
Neuron Control,,,1.0,1.0,,5.0,,3.0,2.0,1.0,5.0,2.0,1.0,1.0,,1.0,3.0,,,,,
Neuroprosthetics,,1.0,4.0,4.0,5.0,4.0,4.0,8.0,14.0,15.0,11.0,13.0,15.0,13.0,26.0,21.0,13.0,25.0,15.0,21.0,26.0,4.0
Nutritional genomics,,,1.0,,2.0,3.0,3.0,8.0,5.0,3.0,9.0,5.0,9.0,10.0,9.0,5.0,3.0,6.0,15.0,4.0,8.0,
Omni Processor,,,,,,,,,,,,,,,,,,,1.0,,,
OOKP,1.0,,,,1.0,1.0,,,1.0,,1.0,3.0,,4.0,6.0,4.0,3.0,3.0,5.0,5.0,4.0,
Organ-on-a-Chip,,,,,,,,,,,1.0,1.0,2.0,10.0,6.0,20.0,25.0,48.0,77.0,60.0,84.0,31.0
Photoacoustic imaging,,,,2.0,2.0,2.0,9.0,9.0,15.0,27.0,57.0,69.0,53.0,80.0,76.0,68.0,99.0,142.0,142.0,169.0,183.0,81.0
Plasma Medicine,,11.0,11.0,18.0,15.0,19.0,33.0,24.0,23.0,39.0,45.0,63.0,72.0,58.0,74.0,80.0,105.0,84.0,116.0,115.0,171.0,46.0
Point of care automated analyser,,,2.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,
Portable water purification,,,,,,,,,2.0,1.0,,,,,,,,1.0,,1.0,,
Powered exoskeleton,,,,1.0,,1.0,,1.0,2.0,2.0,2.0,4.0,9.0,12.0,11.0,9.0,10.0,25.0,29.0,16.0,24.0,8.0
Protein Structure Prediction,4.0,17.0,16.0,16.0,18.0,46.0,28.0,36.0,35.0,67.0,35.0,59.0,61.0,62.0,56.0,63.0,53.0,52.0,46.0,56.0,69.0,40.0
Rapid diagnostic test,2.0,1.0,1.0,2.0,7.0,1.0,2.0,6.0,3.0,2.0,14.0,28.0,22.0,22.0,23.0,30.0,20.0,32.0,38.0,29.0,45.0,8.0
Real-time polymerase chain reaction,7.0,21.0,13.0,23.0,36.0,36.0,56.0,46.0,80.0,83.0,138.0,125.0,120.0,173.0,142.0,138.0,114.0,110.0,144.0,169.0,238.0,63.0
Regenerative Medicine,12.0,38.0,63.0,81.0,120.0,168.0,231.0,269.0,386.0,517.0,832.0,1031.0,1118.0,1294.0,1383.0,1549.0,1598.0,1601.0,1715.0,1616.0,1928.0,595.0
Sensory substitution,,1.0,,3.0,2.0,5.0,15.0,4.0,3.0,12.0,12.0,12.0,21.0,8.0,15.0,19.0,15.0,14.0,21.0,19.0,23.0,6.0
Single Cell Analysis,3.0,4.0,4.0,6.0,5.0,8.0,13.0,11.0,22.0,25.0,36.0,51.0,71.0,73.0,119.0,100.0,142.0,176.0,207.0,259.0,373.0,120.0
Stasis Chamber,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Synthetic Blood,8.0,19.0,10.0,15.0,15.0,13.0,19.0,15.0,16.0,12.0,22.0,15.0,14.0,23.0,27.0,12.0,12.0,34.0,22.0,22.0,36.0,7.0
Theranostic Wound Care,,,,2.0,2.0,,,,,,3.0,2.0,22.0,68.0,118.0,427.0,860.0,1085.0,1180.0,1422.0,1442.0,430.0
Transdermal optical imaging,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,
Active camouflage,1.0,13.0,22.0,21.0,25.0,24.0,31.0,41.0,45.0,36.0,32.0,40.0,65.0,47.0,45.0,57.0,49.0,28.0,56.0,43.0,29.0,14.0
Active noise control,,5.0,20.0,25.0,25.0,17.0,13.0,23.0,32.0,19.0,36.0,32.0,29.0,33.0,53.0,23.0,31.0,21.0,18.0,23.0,13.0,6.0
Automatic identification of suspicious activity,,,,,,,,,,,,,,,,,,,,,,
Cloaking device,,,,,,,,3.0,4.0,6.0,5.0,8.0,7.0,3.0,6.0,16.0,9.0,5.0,14.0,10.0,1.0,2.0
Coilgun,,1.0,,,2.0,1.0,,2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,9.0,4.0,9.0,1.0,2.0
Compact Kinetic Energy Missile,,,,,1.0,,,,,,,,,,,,,,,,,
DART ammunition,,1.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,
Delay-line oscillator,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,
Electrolaser,,,,,,,,,,,,,,,,,,,,,,
Electroshock weapon,,1.0,,2.0,,1.0,,2.0,,,,2.0,1.0,2.0,1.0,,,,1.0,3.0,1.0,
Electrothermal-chemical technology for propellants,,,,,,,,,,,,,,,,,,,,,,
EMP weapon,,,,,,,,,,,,,,,,,1.0,,,,,
Explosively pumped flux compression generator,,,,,,,,,,,,,,,,,,,,,,
Force Field,14.0,73.0,60.0,68.0,90.0,85.0,98.0,113.0,112.0,162.0,219.0,248.0,213.0,216.0,236.0,249.0,238.0,236.0,212.0,239.0,248.0,65.0
Homodyne detection,,2.0,3.0,7.0,7.0,6.0,3.0,8.0,8.0,2.0,7.0,4.0,10.0,5.0,11.0,8.0,7.0,6.0,17.0,13.0,7.0,7.0
HPM weapons,,2.0,,3.0,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,,2.0,1.0,
Hypersonic weapon,,,,,,,,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,3.0,2.0,2.0,,1.0
Kinetic bombardment,,,,,,,,,,,,,,,,,,,,,,
Kinetic energy penetrator,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,
Laser weapon,,1.0,4.0,1.0,5.0,2.0,6.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,3.0,1.0,4.0,,1.0,,1.0
Lidar,4.0,108.0,135.0,164.0,185.0,212.0,285.0,258.0,347.0,387.0,446.0,424.0,457.0,548.0,589.0,633.0,661.0,705.0,755.0,853.0,918.0,391.0
MAHEM,,,,,,,,,,,,,,,,,,,,,,
Metamaterial cloaking,,,,,,,,,1.0,,1.0,,,,,,,,,,,
MGM-166 LOSAT,,,,,,,,,,,,,,,,,,,,,,
Nonlinear metamaterial,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,2.0,
Optical coating,,3.0,2.0,5.0,8.0,7.0,9.0,3.0,5.0,3.0,2.0,2.0,8.0,12.0,2.0,7.0,3.0,6.0,8.0,5.0,2.0,1.0
Optoelectronic oscillator,,,2.0,4.0,1.0,4.0,2.0,2.0,3.0,6.0,4.0,10.0,6.0,22.0,22.0,21.0,15.0,21.0,23.0,16.0,14.0,1.0
Particle-beam weapon,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,
Plasma stealth,,,2.0,3.0,1.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,
Pure fusion weapon,,,,,,,,,,,,,,,,,,,,,,
Quadcopter,,,,,3.0,1.0,8.0,10.0,10.0,16.0,25.0,39.0,70.0,80.0,95.0,131.0,135.0,140.0,144.0,205.0,157.0,59.0
Quantum illumination,2.0,13.0,26.0,26.0,15.0,42.0,42.0,38.0,45.0,34.0,55.0,78.0,84.0,73.0,83.0,96.0,122.0,127.0,128.0,160.0,149.0,55.0
Quantum radar,,,,,,,,,,,,1.0,,2.0,4.0,2.0,5.0,1.0,6.0,8.0,4.0,4.0
Railgun,,14.0,,15.0,15.0,8.0,12.0,22.0,27.0,22.0,5.0,25.0,35.0,32.0,34.0,43.0,17.0,21.0,9.0,26.0,13.0,2.0
Sonic weapon,,,,,,1.0,,1.0,,,,,,,,,,,,,,
Swarm robotic platforms,,,,,,,,,,,,,,,,,,,,,,
Swarm robotics,,,1.0,,3.0,9.0,6.0,11.0,11.0,21.0,12.0,17.0,18.0,29.0,27.0,29.0,36.0,21.0,38.0,28.0,31.0,7.0
Teslaphoresis,,,,,,,,,,,,,,,,,,,,,,
Vortex ring gun,,,,,,,,,,,,,,,,,,,,,,
Asteroid mining,,,,,,,2.0,,,,,,2.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0
Biomining,,8.0,10.0,8.0,8.0,7.0,15.0,19.0,24.0,23.0,28.0,22.0,32.0,51.0,42.0,66.0,39.0,40.0,59.0,73.0,67.0,16.0
Urban mining,,,,,,,,,,,1.0,1.0,4.0,7.0,9.0,13.0,7.0,6.0,16.0,6.0,18.0,5.0
Closed system drug transfer device,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,1.0,2.0,,,
DNA repair,56.0,115.0,120.0,150.0,214.0,185.0,235.0,236.0,277.0,485.0,723.0,671.0,741.0,775.0,760.0,790.0,891.0,881.0,779.0,909.0,1000.0,275.0
Electronic cigarette,,1.0,,,,,1.0,,,3.0,10.0,12.0,20.0,64.0,181.0,300.0,366.0,418.0,522.0,778.0,1145.0,236.0
Enzybiotics,,,,1.0,,,,2.0,,,,5.0,4.0,4.0,5.0,2.0,6.0,2.0,3.0,7.0,9.0,2.0
Exhalation delivery system,,,,,,,,,,5.0,3.0,3.0,2.0,3.0,4.0,9.0,9.0,18.0,14.0,23.0,12.0,6.0
Gene Editing,,,,,,3.0,1.0,1.0,1.0,4.0,8.0,20.0,46.0,133.0,320.0,609.0,1103.0,1459.0,1720.0,1954.0,2278.0,694.0
Genome Prime Editing,,,,,,,,,,,,,,,,,,,,,,
ISCOM,5.0,5.0,,3.0,4.0,3.0,2.0,2.0,2.0,7.0,3.0,4.0,2.0,,1.0,,1.0,,2.0,2.0,2.0,
Medicinal fungi,,,,1.0,1.0,,1.0,1.0,4.0,7.0,1.0,4.0,3.0,6.0,6.0,3.0,8.0,1.0,1.0,8.0,11.0,2.0
Microneedle drug delivery,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,1.0,2.0
Molecular Inversion Probe,,,,,,,1.0,1.0,,1.0,,1.0,4.0,,4.0,2.0,4.0,2.0,2.0,3.0,2.0,
NASBA,5.0,7.0,3.0,8.0,5.0,6.0,12.0,5.0,10.0,13.0,11.0,8.0,10.0,9.0,4.0,4.0,3.0,4.0,3.0,2.0,,2.0
Off-target genome editing,,,,,,,,,,,,,,,,,,,,2.0,,1.0
Oncolytic virus,5.0,8.0,9.0,14.0,16.0,31.0,30.0,36.0,41.0,63.0,83.0,97.0,144.0,145.0,159.0,172.0,173.0,176.0,225.0,199.0,296.0,93.0
Phage therapy,,8.0,1.0,7.0,8.0,3.0,4.0,9.0,11.0,21.0,24.0,50.0,47.0,36.0,49.0,46.0,84.0,83.0,130.0,166.0,215.0,82.0
Receptor activated solely by a synthetic ligand,,,,1.0,,1.0,,,1.0,1.0,1.0,6.0,5.0,5.0,8.0,15.0,22.0,6.0,22.0,33.0,14.0,7.0
