,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"For me,“what would be the best cryptocurrency to buy in 2017?”I think it keeps changing. At this very moment, none of them are profitable. For those people who have just started mining and do not want to get burned/lost, it's worth paying to Dogecoin. This crypto currency has appeared relatively recently. It is great for those who want to distance th...",2 followers,Kelly Pearson,1K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
1,"Depends on the kind of hardware you have. For CPU mining I would go with Bytecoin and Myriad. Using a GPU I would mine Electroneum, Verge, Straks, Vertcoin, and SmartCash.",2 followers,Kelly Pearson,1.7K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
2,"For CPU mining, I prefer qwertycoin. I ddid not want to invest money on hardware and hence this one works for me. The low difficulty makes it possible for me to mine a lot of coins in a day. As the project grows, I am sure that the coins will worth much more than they are in the short term. I will continue mining them and will hold on to them until prices rise.",2 followers,Kelly Pearson,1.7K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
3,None. Cryptocurrency mining these days is extremely commercialised and handled by specially designed GPUs. You’re also fighting Gresham’s Law (bad money drives out good) and have to spend a lot of electricity cryptocurrency mining. It’s been years since it was something you could do effectively on your own computer.The current working theory is that the main Bitcoin mining cartels are based in China because of the currency export restrictions; they can’t directly convert all they want to to dollars so instead they buy state-subsidised electricity and use that to mine bitcoins or other cryptocuNone. Cryptocurrency mining these days is extremely commercialised and handled by specially designed GPUs. You’re also fighting Gresham’s Law (bad money drives out good) and have to spend a lot of electricity cryptocurrency mining. It’s been years since it was something you could do effectively on your own computer.The current working theory is that the main Bitcoin mining cartels are based in China because of the currency export restrictions; they can’t directly convert all they want to to dollars so instead they buy state-subsidised electricity and use that to mine bitcoins or other cryptocurrencies which they can convert to dollars much more freely.,18 followers,Asim Qureshi,1.4K,996,155.3M,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
4,"This is a great websiteBesides that, if you're looking to get into mining, you're probably also looking for the best mining rig setup, so I would also look into this article.Lastly, if you haven't heard of this companyThis is a great websiteBesides that, if you're looking to get into mining, you're probably also looking for the best mining rig setup, so I would also look into this article.Lastly, if you haven't heard of this company",0 followers,Melissa Aldridge,501,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
5,"These are my top 4 cryptocurrency to mine at the moment, even the best can be found among the best or amongst others.","3,397 followers",Raymond Scottman,1.1K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
6,Right now I tend to think that buying makes more financial sense. I know some miners - those with large operations somehow weather all the recent volatility. Small miners shut down their mining rigs.,"3,397 followers",Raymond Scottman,1.1K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
7,"It depends on a lot of factors - but if you have LOW cost electric, it’s cheaper to aquire cryptocoins via mining (though takes a lot longer) than via buying.",27 followers,Benjamin Price,1.2K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
8,"Tesla will 'most likely' resume accepting bitcoin as a form of payment once the mining rate for the cryptocurrency reaches 50% renewables, CEO Elon Musk said Wednesday at a virtual panel discussion hosted by the Crypto Council for Innovation, remarks that are in line with statements he made last month on Twitter. Nano (NANO) Nano is free, fast, and uses considerably less energy than Bitcoin and many other cryptocurrencies. It has been around since the end of 2015 and has a relatively small carbon footprint even now. It is also scalable and lightweight as it doesn't rely on mining.",0 followers,Bongani Mthembu,6.9K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
9,"He did with Tesla Energy which provides battery backup for both individual users and the grid. Grid scale battery packs can eliminate the need for natural gas powered peak plants and make Solar or Wind more viable as solutions.The Gigafactory in Nevada was supposed to use some geothermal, which is available in its area.I suspect The Boring Company might eventually lead to an interest by Elon in hot dry geothermal both on earth and on Mars.",152 followers,Tom Alexander,11.5K,160,3.4M,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
10,"No he doesn't, this is probably why:After watching some of Elon's videos, it seems like he's a person who doesn't like the past, he keeps emphasising the future and it's possibilities. Someone else pointed it out, Elon Musk has his mind in the clouds. He's in America because it serves him that very purpoNo he doesn't, this is probably why:After watching some of Elon's videos, it seems like he's a person who doesn't like the past, he keeps emphasising the future and it's possibilities. Someone else pointed it out, Elon Musk has his mind in the clouds. He's in America because it serves him that very purpose and he's not even interested in the American dream although he's playing very nice with the Yanks.","135,201 followers",Hector Quintanilla,27.8K,1.2K,88.2M,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
11,"I only spent the one afternoon with him, at a Model S launch event, but was struck by a few things:I only spent the one afternoon with him, at a Model S launch event, but was struck by a few things:What was most striking was how these personal qualities are mirrored by the overall Tesla Motors corporate culture. He has a very no-nonsense, direct, “get shit done” persona, and that’s exactly what the vibe is at the company.",401 followers,Roshan Thomas,8.5K,0,0,https://www.quora.com/What-is-a-good-cryptocurrency-to-mine-in-2017
