,5g,open_source_model,quadcopter,e-reader,smartphone,electronic cigarette,cryptocurrency
2000-Jan,0.0,0.0,0.0,0.00012997140629061605,0.0,0.0,0.0
2000-Feb,0.0,0.0,0.0,8.961376467425397e-05,0.0002688412940227619,0.0,0.0
2000-Mar,0.0,0.0,0.0,8.296001327360213e-05,0.0,0.0,0.0
2000-Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-May,0.0,0.0,0.0,8.134049129656744e-05,0.0,0.0,0.0
2000-Jun,0.0,0.0,0.0,0.0001486657251170743,0.0,0.0,0.0
2000-Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-Aug,0.0,0.0,0.0,0.00011708230886313079,0.0,0.0,0.0
2000-Sep,0.0,0.0,0.0,0.0,0.0002279981760145919,0.0,0.0
2000-Oct,0.0,0.0,0.0,0.0005254860746190227,0.0,0.0,0.0
2000-Nov,0.0,0.0,0.0,0.00016123831022250886,0.00016123831022250886,0.0,0.0
2000-Dec,0.0,0.0,0.0,0.0,0.0003690717844620779,0.0,0.0
2001-Jan,0.0,0.0,0.0,0.0,0.00015328019619865113,0.0,0.0
2001-Feb,0.0,0.0,0.0,0.0,0.0003044294484753158,0.0,0.0
2001-Mar,0.0,0.0,0.0,4.0469445568595707e-05,0.00036422501011736135,0.0,0.0
2001-Apr,0.0,0.0,0.0,5.498432946610216e-05,0.00016495298839830648,0.0,0.0
2001-May,0.0,0.0,0.0,0.0,0.00019794140934283448,0.0,0.0
2001-Jun,0.0,0.00013833171946327292,0.0,0.00013833171946327292,0.0004149951583898188,0.0,0.0
2001-Jul,0.0,0.0,0.0,0.00010039656643742784,0.0,0.0,0.0
2001-Aug,0.0,0.0,0.0,0.00023035105500783198,0.00041463189901409754,0.0,0.0
2001-Sep,0.0,0.0,0.0,0.0002038597444957869,0.0,0.0,0.0
2001-Oct,0.0,0.0,0.0,0.00010105092966855296,0.0,0.0,0.0
2001-Nov,0.0,0.0,0.0,0.00017624250969333803,0.0,0.0,0.0
2001-Dec,0.0,0.0,0.0,0.00015441630636195183,0.0,0.0,0.0
2002-Jan,0.0,0.0,0.0,0.0001809518065022016,0.0001809518065022016,0.0,0.0
2002-Feb,0.0,5.9361272705686805e-05,0.0,0.0,0.00017808381811706042,0.0,0.0
2002-Mar,0.0,0.0,0.0,0.00015412278448497302,0.0006164911379398921,0.0,0.0
2002-Apr,0.0,0.0,0.0,0.0002026547775863816,0.00030398216637957234,0.0,0.0
2002-May,0.0,0.0,0.0,5.667649059170256e-05,0.0006801178871004308,0.0,0.0
2002-Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-Jul,0.0,0.0,0.0,0.0,0.0006683896265929952,0.0,0.0
2002-Aug,0.0,0.00010890873448050534,0.0,0.0,0.000653452406883032,0.0,0.0
2002-Sep,0.0,0.0,0.0,6.305170239596469e-05,0.0001891551071878941,0.0,0.0
2002-Oct,0.0,0.0,0.0,4.51304269338388e-05,0.0006769564040075819,0.0,0.0
2002-Nov,0.0,5.327650506126798e-05,0.0,5.327650506126798e-05,0.0011188066062866276,0.0,0.0
2002-Dec,0.0,0.0,0.0,0.0004272591326639607,0.0010681478316599015,0.0,0.0
2003-Jan,0.0,0.0,0.0,0.00010812564199599937,0.0014596961669459912,0.0,0.0
2003-Feb,0.0,0.0,0.0,0.0,0.0024962852897474,0.0,0.0
2003-Mar,0.0,0.0,0.0,5.092168245238823e-05,0.001374885426214482,0.0,0.0
2003-Apr,0.0,5.734931467568962e-05,0.0,0.0,0.00017204794402706888,0.0,0.0
2003-May,0.0,0.00012746160219233955,0.0,6.373080109616978e-05,0.000573577209865528,0.0,0.0
2003-Jun,0.0,0.0,0.0,5.932957579353308e-05,0.0008899436369029963,0.0,0.0
2003-Jul,0.0,0.0,0.0,0.00018952854773750296,0.0004264392324093816,0.0,0.0
2003-Aug,0.0,0.0,0.0,0.0001704351778207022,0.0006817407112828088,0.0,0.0
2003-Sep,0.0,0.00012276717205819164,0.0,0.0,0.0009207537904364373,0.0,0.0
2003-Oct,0.0,5.255689283649551e-05,0.0,0.0,0.0011036947495664056,0.0,0.0
2003-Nov,0.0,5.131889561736632e-05,0.0,5.131889561736632e-05,0.0006158267474083957,0.0,0.0
2003-Dec,0.0,0.0,0.0,0.0,0.000356104219835005,0.0,0.0
2004-Jan,0.00014647722279185587,0.0,0.0,0.0,0.0002929544455837117,0.002004008016032064,0.0
2004-Feb,0.0,5.323963158174946e-05,0.0,0.0,0.0007985944737262418,0.0,0.0
2004-Mar,0.0,0.0,0.0,0.0,0.0007930912936200213,0.0,0.0
2004-Apr,0.0,5.365382551775942e-05,0.0,0.0,0.0003219229531065565,0.0,0.0
2004-May,0.0,0.0,0.0,0.0,0.0005406379527842853,0.0,0.0
2004-Jun,0.0,0.00010147648282510528,0.0,0.0,0.00045664417271297383,0.0,0.0
2004-Jul,0.0,0.0,0.0,0.0,0.00031044652558596784,0.0,0.0
2004-Aug,0.0,5.023106288929074e-05,0.0,0.00015069318866787218,0.00030138637733574436,0.0,0.0
2004-Sep,0.0,0.0,0.0,0.0,0.0017406440382941688,0.0,0.0
2004-Oct,0.0,4.347637059258293e-05,0.0,0.0,0.0003912873353332464,0.0,0.0
2004-Nov,0.0,0.0002065475575751317,0.0,0.0,0.0,0.0,0.0
2004-Dec,0.0,0.00018667164457718876,0.0,0.0,0.0003733432891543775,0.0,0.0
2005-Jan,0.0,0.00014801657785671994,0.0,0.0,0.0002960331557134399,0.0,0.0
2005-Feb,0.0,0.0,0.0,0.0,0.0011251004553978034,0.0,0.0
2005-Mar,0.0,4.275879762261085e-05,0.0,0.0,0.0007696583572069952,0.0,0.0
2005-Apr,0.0,9.551098376313276e-05,0.0,0.0,0.00042979942693409736,0.0,0.0
2005-May,0.0,0.0,0.0,5.7309874491374865e-05,0.0005157888704223738,0.0,0.0
2005-Jun,0.0,4.464285714285714e-05,0.0,0.0,0.0008035714285714287,0.0,0.0
2005-Jul,0.0,0.0,0.0,0.0,0.0007208765859284892,0.0,0.0
2005-Aug,0.0,0.0,0.0,0.0,0.0001322110087699969,0.0,0.0
2005-Sep,0.0,0.0,0.0,0.0,0.0009403406122662207,0.0,0.0
2005-Oct,0.0,0.0,0.0,0.0,0.0005501054368754011,0.0,0.0
2005-Nov,0.0,3.830390316773279e-05,0.0,0.0,0.00034473512850959515,0.0,0.0
2005-Dec,0.0,0.0,0.0,4.863103632738414e-05,0.00043767932694645717,0.0,0.0
2006-Jan,0.0,3.9499150768258476e-05,0.0,0.0,0.00011849745230477543,0.0,0.0
2006-Feb,0.0,0.00012957843814789222,0.0,0.0,0.0009070490670352454,0.0,0.0
2006-Mar,0.0001132802174980176,3.7760072499339205e-05,0.0,0.0,0.000566401087490088,0.0,0.0
2006-Apr,0.0,4.628129772758828e-05,0.0,0.0,0.00013884389318276485,0.0,0.0
2006-May,0.0,4.40063369125154e-05,0.0,0.0,0.00039605703221263865,0.0,0.0
2006-Jun,0.0,9.408222786715589e-05,0.0,0.00014112334180073385,0.00014112334180073385,0.0,0.0
2006-Jul,0.0,9.556118304744611e-05,0.0,0.0,0.0007167088728558459,0.0,0.0
2006-Aug,0.0,8.209169642490662e-05,0.0,0.0,0.00024627508927471984,0.0,0.0
2006-Sep,0.0,4.572473708276178e-05,0.0,0.0002286236854138089,0.0009602194787379973,0.0,0.0
2006-Oct,0.0,4.092490280335584e-05,0.0,0.0,0.0004910988336402701,0.0,0.0
2006-Nov,0.0,3.780289570181076e-05,0.0,0.0,0.0005670434355271614,0.0,0.0
2006-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-Jan,0.0,8.235875473562839e-05,0.0,4.11793773678142e-05,0.0001235381321034426,0.0,0.0
2007-Feb,0.0,0.0,0.0,0.0,0.001213046994339114,0.0,0.0
2007-Mar,0.0,0.0,0.0,0.0,0.0005370184734354861,0.0,0.0
2007-Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-May,0.0,4.563084645220169e-05,0.0,0.00013689253935660506,0.0004106776180698152,0.0,0.0
2007-Jun,0.0,4.2006216920104184e-05,0.0,4.2006216920104184e-05,0.0003780559522809376,0.0,0.0
2007-Jul,0.0,4.0149355602842574e-05,0.0,0.0,0.00024089613361705543,0.0,0.0
2007-Aug,0.0,0.0,0.0,3.6492354851658585e-05,0.00010947706455497573,0.0,0.0
2007-Sep,0.0,0.0,0.0,0.0,0.0008944543828264757,0.0,0.0
2007-Oct,0.0,3.96809650410698e-05,0.0,0.0001190428951232094,0.0003571286853696282,0.0,0.0
2007-Nov,0.0,0.0,0.0,3.7120902780355616e-05,0.00022272541668213368,0.0,0.0
2007-Dec,0.0,0.0,0.0,0.0,0.00048275492141822666,0.0,0.0
2008-Jan,0.0,0.0,0.0,7.965588657001752e-05,0.0009558706388402104,0.0,0.0
2008-Feb,0.0,8.068094719432004e-05,0.00012102142079148008,0.0,0.0009681713663318408,0.0020161290322580645,0.0
2008-Mar,0.0,0.0,0.0,4.614248800295312e-05,0.0011074197120708748,0.0,0.0
2008-Apr,0.0,7.722305880535928e-05,0.0,0.0,0.00034750376462411677,0.0,0.0
2008-May,0.0,0.0,0.0,0.0,0.0004807114529503666,0.0,0.0
2008-Jun,0.0,4.069175991861648e-05,0.0,0.0,0.000854526958290946,0.0,0.0
2008-Jul,0.0,0.0,0.0,0.0,0.0006010819475055099,0.0,0.0
2008-Aug,0.0,0.0,0.0,4.1454213820834885e-05,0.0006218132073125232,0.0,0.0
2008-Sep,0.0,4.7737254153141106e-05,0.00014321176245942334,9.547450830628224e-05,0.0011456940996753867,0.000764525993883792,0.0
2008-Oct,0.0,0.0,0.0,0.0,0.0009023331757830963,0.0,0.0
2008-Nov,0.0,4.946087644673064e-05,0.0,0.0,0.0019289741814224948,0.0,0.0
2008-Dec,0.0,5.1440329218107e-05,0.0,0.00015432098765432098,0.0012345679012345679,0.0,0.0
2009-Jan,0.0,0.0,0.0001232640315555921,0.0,0.0008628482208891446,0.0,0.0
2009-Feb,0.0,0.0,0.0,0.0,0.0019850897701707178,0.0,0.0
2009-Mar,0.0,0.0,0.0,0.0005786264298749277,0.0008011750567498997,0.0,0.0
2009-Apr,0.0,0.0,0.0001626104395902217,5.420347986340723e-05,0.00097566263754133,0.0,0.0
2009-May,0.0,0.0,0.0,0.00021797177265544108,0.0013078306359326467,0.0,0.0
2009-Jun,0.0,0.0,0.0,0.00016565433462175595,0.0014908890115958033,0.0,0.0
2009-Jul,0.0,5.634120232125754e-05,0.0,0.00016902360696377264,0.0013521888557101811,0.0,0.0
