,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,extended_entities
listed_count,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,0,,,,,,False,0,0,False,False,en,False,
created_at,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,Mon Aug 08 18:40:35 +0000 2022,,,,,,False,0,0,False,False,en,False,
favourites_count,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,16,,,,,,False,0,0,False,False,en,False,
utc_offset,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
time_zone,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
geo_enabled,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
verified,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
statuses_count,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,13,,,,,,False,0,0,False,False,en,False,
lang,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
contributors_enabled,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
is_translator,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
is_translation_enabled,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
profile_background_color,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,F5F8FA,,,,,,False,0,0,False,False,en,False,
profile_background_image_url,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
profile_background_image_url_https,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
profile_background_tile,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
profile_image_url,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,http://pbs.twimg.com/profile_images/1558144692998529024/QF8hrqoS_normal.jpg,,,,,,False,0,0,False,False,en,False,
profile_image_url_https,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,https://pbs.twimg.com/profile_images/1558144692998529024/QF8hrqoS_normal.jpg,,,,,,False,0,0,False,False,en,False,
profile_banner_url,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,https://pbs.twimg.com/profile_banners/1556711928755621888/1660325619,,,,,,False,0,0,False,False,en,False,
profile_link_color,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,1DA1F2,,,,,,False,0,0,False,False,en,False,
profile_sidebar_border_color,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,C0DEED,,,,,,False,0,0,False,False,en,False,
