,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"*Timing the share markets*I attended a Party, recently, with a gathering of about 300 people and sat in the front row.A Lady started distributing snacks from the *back row* and unfortunately, it didn't get to us sitting in the *front row.*Another Lady started handing out Drinks, from the *front row.* But, by then, I had already moved to the *Back row.* and, so, the drink didn't get to me.I was irritated and stood up to leave.But, then, I saw three ladies each with A Big Bowl of vegetable Manchurian dry. This time, I tried to be Wise by sitting in the *Middle row.* One of the Ladies started the*Timing the share markets*I attended a Party, recently, with a gathering of about 300 people and sat in the front row.A Lady started distributing snacks from the *back row* and unfortunately, it didn't get to us sitting in the *front row.*Another Lady started handing out Drinks, from the *front row.* But, by then, I had already moved to the *Back row.* and, so, the drink didn't get to me.I was irritated and stood up to leave.But, then, I saw three ladies each with A Big Bowl of vegetable Manchurian dry. This time, I tried to be Wise by sitting in the *Middle row.* One of the Ladies started the sharing from the Front, and the second Lady started distributing from the back. When they got to the middle row where I was seated, it got over again!Feeling frustrated, I bent my head, putting my Face in My Hands.But, then, the third Lady tapped me and held out her Bowl.I stretched out my Hand and guess what was in the Bowl?*Toothpicks!!!*Moral:*Don’t try to Position yourself and time the markets. If you are disciplined and patient, then, good returns will come to you automatically sooner or later.**Otherwise, you will wrongfully position yourself for Toothpicks Only!!!!*Source: Whatsapp forward",249 followers,Charanjeet Singh,5.1K,0,0,2018,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
1,Can you see the resemblance between thisand this?The first image shows a 2017 quantum computer while the second one shows one of the first “traditional” computers.By the late 20s we'll definitely see some big advancements in the applications and size of quantum computers.They may even be available t...Can you see the resemblance between thisand this?The first image shows a 2017 quantum computer while the second one shows one of the first “traditional” computers.By the late 20s we'll definitely see some big advancements in the applications and size of quantum computers.They may even be available t...,0 followers,Lucas Martin,6.4K,65,4.2M,2017,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
2,"Not to invest in penny stocks because almost all of the gurus who pitch them are scammers and you’re going to lose money. You probably think you’re special and will be an exception, but time will undoubtedly show you different. I hope that I’m wrong though.",18 followers,Asim Qureshi,1.8K,996,155.9M,2017,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
3,"I have the best ways to make money in penny stocks. There are only a few ways to actually make money with penny stocks and they are all spectacularly bad.I have the best ways to make money in penny stocks. There are only a few ways to actually make money with penny stocks and they are all spectacularly bad.Penny stocks behave more like lottery tickets than they do like regular stocks. Do you have any tips for buying lottery tickets? Just avoid them and stick to vanilla stocks.Penny stocks are what they are because the FAIL to meet the listing requirements of the major exchanges, that’s why they have to trade on the OTC/Pink Sheets - they are already failed companies! They might have poor management, a shitty product, accounting irregularities, or any other number of problems. The point is theyOnly under the rarest of circumstances does a penny stock actually transition back to a generally listed company. If you’re trying to get in on that before it happens, you won’t be asking about penny stocks plural, you’ll be in direct contact with the management team of the one company you believe in and asking them difficult questions.",6 followers,Ryan Burner,1.6K,0,0,2020,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
4,"NOT FOR REPRODUCTION OUTSIDE QUORAPenny stocks. Do you have an edge? Do you wish to invest or do you wish to gamble? Makes some serious investments first, open a separate account if you think you have an edge? What is your edge? You can convince your friends that you do, but you can’t just convince the market. If you do want to gamble, open a gambling account. Don’t mix the two.Do you know for definite that the government of Botswana is going to issue the mining rights tomorrow? Or has that now been delayed? Has a drug patent been approved that you know about and the investing public doesn’t yNOT FOR REPRODUCTION OUTSIDE QUORAPenny stocks. Do you have an edge? Do you wish to invest or do you wish to gamble? Makes some serious investments first, open a separate account if you think you have an edge? What is your edge? You can convince your friends that you do, but you can’t just convince the market. If you do want to gamble, open a gambling account. Don’t mix the two.Do you know for definite that the government of Botswana is going to issue the mining rights tomorrow? Or has that now been delayed? Has a drug patent been approved that you know about and the investing public doesn’t yet? You don’t? Hmm… Well, then maybe you’ll have to put in some hard work. You could start with a stock screener such as www.finviz.com - to learn about stocks. Have you figure out how to use it better than the others? You are competing, after all, with the smartest minds of the planet.“It’s the most intriguing game ever invented by man and it pays the biggest jackpot.”You bet they’re playing it!But wait! Don’t bet anything yet!Watch films like “The Margin Call” and others to learn about that business. What does the Jeremy Iron’s character say about either cheating or being first?There is another very good trading film - a doc about a silicon valley insider who secretly drops hints about big news in tech to her Wall Street friends in exchange for shopping vouchers. Do you have someone like that? Do you have a friend who’ll excuse himself, go to the toilet and text you that the merger is definitely going through? One who’s prepared to do time if caught doing so? Now, what was the name about that film...? She eventually figured out that the fancy dresses she was getting for the insider info was very far from proportionate reward for the benefit it was bringing to her friend, and started asking for more. And the FBI found it very hard to prove that she was passing privileged information illegally, which, of course, she was. They were onto her but traders talk about stocks all day and they had to catch her passing actionable inside knowledge. In other words, she was breaking the law in exchange for top label outfits. Only when she sat down in a cafe and saw the TV news about the insane profits her friends were making, did she realise that she could have asked for quite a lot more than a pair of stilettos. But the law was onto her by then. It’s all in one of those trading films.Ok, so you don’t have such a friend… Can you be first ahead of the crowd by some other means? Or, perhaps you are you prepared to cheat? Gamblers often do, you know.But before you start playing, buy shares in the firm that supplies your electric or gas. Put your lump sum into something really boring and really solid. Firms that own power stations, pipes, cables, the ones you have to buy from for your essential needs. You’re already their customer, like it or not. That’s not a bad business model. Start with that. Just put the money into utilities. Or, like others say - McDonalds - another one with a captive market. Lock that dividend - set it to keep re-investing. Your bank will set you up with a share account. In the future you may decide to diversify. But start with the energy firms. A friend of mine had an issue with his boiler. He bought shares in the firm and wrote a letter as a shareholder. In return he received a generous compensation. I saw him in the bookies showing the cheque to all his friends. He knew some guy who bout a small share in all the major firms that do annual meetings. This entitled him to attend shareholder meetings where he would get free tea and sandwiches. In nice and presentable City halls. Small of big, he still own a “piece” of the firm.If you still have any gambling money left over, then by all means open a trading account with a broker. And start learning about the market. In the USA I believe options is the best way to start gambling with small caps and such. Remember that options writers make the most money. Sometimes they do lose big so occasionally you can win big with options - if you are right on the time and the price. So look into options as a concept. Technically speaking, having an investment in an actual company where you own a tiny, tiny fraction of a boring regular business keeps you connected to reality.And - look! They’re doing quite well right now at this moment on whatever criteria. The power stations and the grids they own are not going to go out of fashion, don’t you think? They’re considered safe investments, but it’s still gambling on choosing one that won’t blow up in the morning. Mark Fisher says what do you care if it’s peruvian chickenshit. Others study the fundamentals. The beast called market is big and always ready to interact with you.",0 followers,Stock Price,878,0,0,2019,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
5,There are many technology companies that I admire but Google got the number 1 spot after using its productSo here are some screenshots of my conversation with google assistant.1.When you get such a beautiful answer so you start to have an interesting conversation .2.When I ask him to introduce himself.3. I was amazed.4. I got more interested in the conversation.5.Even more interested.6.Thanku Google Assistant.You surely know how to impress people.7.Competitive spirit: Bring it on!!!8.When you know how to handle situations like this-9.When you have to solve the problem keepingThere are many technology companies that I admire but Google got the number 1 spot after using its productSo here are some screenshots of my conversation with google assistant.1.When you get such a beautiful answer so you start to have an interesting conversation .2.When I ask him to introduce himself.3. I was amazed.4. I got more interested in the conversation.5.Even more interested.6.Thanku Google Assistant.You surely know how to impress people.7.Competitive spirit: Bring it on!!!8.When you know how to handle situations like this-9.When you have to solve the problem keeping in mind of your motto.10.Your company-the best.11.when you accidently enter your competitor's name.12. And when you are destined to be single..After this I never chatted with it again.,256 followers,Priyal Gupta,9.7K,0,0,2018,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
6,Can you see the resemblance between thisand this?The first image shows a 2017 quantum computer while the second one shows one of the first “traditional” computers.By the late 20s we'll definitely see some big advancements in the applications and size of quantum computers.They may even be available t...Can you see the resemblance between thisand this?The first image shows a 2017 quantum computer while the second one shows one of the first “traditional” computers.By the late 20s we'll definitely see some big advancements in the applications and size of quantum computers.They may even be available t...,0 followers,Lucas Martin,6.4K,65,4.2M,2017,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
7,"Yesterday afternoon I was having a coffee with a friend. We were talking about a certain problem we were having and realised it’s a problem big enough to build a tech startup around. It could be a unicorn, so I’m excited.This is my approach:Yesterday afternoon I was having a coffee with a friend. We were talking about a certain problem we were having and realised it’s a problem big enough to build a tech startup around. It could be a unicorn, so I’m excited.This is my approach:This is how I start a tech startup…",18 followers,Asim Qureshi,2.4K,996,155.9M,2017,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
8,There are many technology companies that I admire but Google got the number 1 spot after using its productSo here are some screenshots of my conversation with google assistant.1.When you get such a beautiful answer so you start to have an interesting conversation .2.When I ask him to introduce himself.3. I was amazed.4. I got more interested in the conversation.5.Even more interested.6.Thanku Google Assistant.You surely know how to impress people.7.Competitive spirit: Bring it on!!!8.When you know how to handle situations like this-9.When you have to solve the problem keepingThere are many technology companies that I admire but Google got the number 1 spot after using its productSo here are some screenshots of my conversation with google assistant.1.When you get such a beautiful answer so you start to have an interesting conversation .2.When I ask him to introduce himself.3. I was amazed.4. I got more interested in the conversation.5.Even more interested.6.Thanku Google Assistant.You surely know how to impress people.7.Competitive spirit: Bring it on!!!8.When you know how to handle situations like this-9.When you have to solve the problem keeping in mind of your motto.10.Your company-the best.11.when you accidently enter your competitor's name.12. And when you are destined to be single..After this I never chatted with it again.,256 followers,Priyal Gupta,9.7K,0,0,2018,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
9,"The very best search engines like Google, Bing, as well as Baidu, alter the calculations that regulate their search results regularly. To stay at the top rankings on these search engines, your site should always track search engine algorithm recommendations. If you can not personally remain up-to-date with these modifications, your very best strategy may be to utilize a leading search engine optimization company or internet advertising bureau. Empower professionals and adapt to your marketing strategy. The SEO will keep doing so till you've got the best approach in place. When minding our rankThe very best search engines like Google, Bing, as well as Baidu, alter the calculations that regulate their search results regularly. To stay at the top rankings on these search engines, your site should always track search engine algorithm recommendations. If you can not personally remain up-to-date with these modifications, your very best strategy may be to utilize a leading search engine optimization company or internet advertising bureau. Empower professionals and adapt to your marketing strategy. The SEO will keep doing so till you've got the best approach in place. When minding our rankings, we considered that the talented and seasoned marketing professionals. We realize excellence in client service and excellent work, and we just recommend companies that we'd work together with ourselves. The companies below are examined based on a selection of qualitative and qualitative data. Sometimes, variable list fees influence position on this listing nevertheless, just highly-regarded companies are approved through our inspection evaluation.1- Straight North2- Ignite Visibility3- Boostability4- OneIms5- Victorious SEO6- Over the Top SEO7- SEO Brand8- SocialFix9- BOWENHope you find my answer useful.",0 followers,Lucas Martin,6.4K,65,4.2M,2019,https://www.quora.com/What-are-some-top-technology-penny-stocks-to-invest-in-2020
