,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,Try exploring the Microsoft Azure Cognitive Learning platform. RPA is certainly here is to stay. Service delivery has traditionally seen 5 transformational levers. RPA combined with AI has introduced the sixth transformation lever.,16 followers,Daniel Bourke,6.9K,178,7.6M,2018,https://www.quora.com/I-have-7-years-of-experience-in-production-support-and-want-to-reskill-with-new-upcoming-technologies-now-What-are-some-valuable-inputs-on-RPA-tools-and-what-would-be-their-future-alongside-AI-and-machine-learning
1,"Hello!My friend RPA is the right choice!The most popular RPA tools: Automation Anywhere, UIPath, Pega, Blue Prism. (in no particular order)The RPA and machine learning AI don’t yet marry.In the future we see them come together, but for now not so much.For future career the advice given: learn those software. become certificate holder.Thank you!",0 followers,Lyken Syu,595,0,0,2018,https://www.quora.com/I-have-7-years-of-experience-in-production-support-and-want-to-reskill-with-new-upcoming-technologies-now-What-are-some-valuable-inputs-on-RPA-tools-and-what-would-be-their-future-alongside-AI-and-machine-learning
