,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"Yellapragada SubbaraoNo problem.Still nothing? Nada?I am pretty sure that most of you have never heard this name (except those living in Andhra Pradesh). Yet he was one of the most important biochemist and scientists of not only India but of entire world in the 20th century. He lead one of the most important medical researches in America during World War Two.Yellapragada SubbaraoNo problem.Still nothing? Nada?I am pretty sure that most of you have never heard this name (except those living in Andhra Pradesh). Yet he was one of the most important biochemist and scientists of not only India but of entire world in the 20th century. He lead one of the most important medical researches in America during World War Two.Despite all these superhuman achievements:Please spread this message as much as you can about Dr. Subbarao.Don't behave like dumb wits, worshiping celebrities, reality shows and stupid TV series and movies, which lowers the IQ of entire human race.Edit: Thanks for listening guys and promoting it. Keep it up and share it as much as you can, till all Indians are aware about this unrewarded genius.","242,280 followers",Roman Saini,20.4K,315,33.3M,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
1,"1. ButtonsButtons were first used in Mohenjo-daro for ornamental purpose rather than for fastening. They were first used in the Indus Valley Civilization by 2000 BCE.2. ChessChess developed out of3. Prefabricated home and movable structure[vc_row][vc_column width=”1/2″][/vc_column][vc_column width=”1/2″][/vc_column][/vc_row]In 16th century Mughal India, during the reign of Akbar, the first prefabricat1. ButtonsButtons were first used in Mohenjo-daro for ornamental purpose rather than for fastening. They were first used in the Indus Valley Civilization by 2000 BCE.2. ChessChess developed out of3. Prefabricated home and movable structure[vc_row][vc_column width=”1/2″][/vc_column][vc_column width=”1/2″][/vc_column][/vc_row]In 16th century Mughal India, during the reign of Akbar, the first prefabricated & movable structures were invented.4. RulerRulers were first used by the Indus Valley Civilization prior to 1500 BCE. Made of ivory, the rulers found during excavation, reveal the amazing accuracy of decimal subdivisions on it.5. ShampooThe word ‘Shampoo’ is derived from6. Snakes and LaddersThe game, Snakes & Ladders, was invented in India as a game of morals. Later it spread to England and eventually introduced in the USA by game pioneer Milton Bradley in 1943.7. Cotton cultivation (We clothed the world, yay!)The ancient Greeks used to wear animal skins and were not even aware of cotton. But Indians were sort of cooland started cultivating cotton during the 5th – 4th millennium BCE in the Indus Valley Civilization. The word spread to the Mediterranean and beyond and soon everyone was ordering one from Flipkart. Well, pretty much.8. Fibonacci NumbersThe Fibonacci numbers were first described by9. Decimal System, Quadratic formula and Zero!It was in 7th century CE when10. Suits GameThe popular game of cards originated from India & was known as Krida-patram (which literally means11. Cataract SurgeryIndian physician Sushruta (6th century BCE) had the knowledge of performing cataract surgery. It spread to China from India. Greek scientists would visit India to get operations done and also to learn the nitty-gritties.12. Diamond MiningWorldwide, India was the only source of diamonds until the discovery of mines in Brazil in the 18th century. Almost 5000 years ago, diamonds were first recognized and mined in central India.13. Water on MoonISRO’s Chandrayaan-1 made the startling discovery that our moon is not a dry ball of rocks. The discovery of lunar water is attributed to the Chandrayaan mission.14. Radio/Wireless communicationWe all know that Marconi received a Nobel Prize in Physics in 1909 for contribution to the development of wireless telegraphy. But the first public demonstration of radio waves for communication was made by Sir Jagdish Chandra Bose in 1895, two years prior to Marconi’s similar demonstration in England.Sir Bose was posthumously credited (more than a century later) for his achievement. The fact remains that this discovery truly shaped the face of modern wireless communication.15. Flush ToiletsFlush toilets were first used in the Indus Valley Civilization. These existed in most homes and were connected to a sophisticated sewage mechanism. The civilization was prominent in hydraulic engineering.16. Binary CodeBinary numbers were first described by17. InkMany ancient cultures and civilizations independently discovered and prepared ink for writing purposes. The source of carbon pigment used in Indian Ink (called musi) used in ancient India, was India. Since 4th century BC, the practice of writing with ink with a sharp pointed needle was common in South India.18. Steel & Metal worksAncient Indians were pioneers in metallurgy. High quality steel was produced, almost two thousand years before it was understood by the West. One of the most remarkable feat in metallurgy: creating a seamless celestial globe, was invented in Kashmir. It was earlier considered impossible to create a metal globe without seams.So thanks to India, Iron Man can wear his suit now.19. Fiber OpticsNamed as one of the 7 ‘Unsung Heroes’ by Fortune Magazine,20. Plastic SurgeryYes, you heard it right. Indians were pioneers in Plastic Surgery too. It was carried out in India as early as 2000 BCE.So, we’ve always been a",0 followers,Varun Menon,941,0,0,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
2,"17-Year-Old Boy From Telangana, India Who Invented a Unique Device to Prevent Rape15-year-old Siddharth Mandala came up with an invention to stop further incidents of rape –The power source required to run is solely dependent on your footsteps. The more you walk, the more mechanical energy is converted into electrical energy and stored into the rechargeable battery using the concept called “17-Year-Old Boy From Telangana, India Who Invented a Unique Device to Prevent Rape15-year-old Siddharth Mandala came up with an invention to stop further incidents of rape –The power source required to run is solely dependent on your footsteps. The more you walk, the more mechanical energy is converted into electrical energy and stored into the rechargeable battery using the concept called “Because of his efforts, Indian Education Minister and Deputy Chief Minister of Telangana have accorded him with the letter of Appreciation.","2,068 followers",Jayesh Dhanvanthri,2.5K,0,0,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
3,"QABut did he?Yes and no.It is actually Sir Jagdish Chandra Bose's invention.He neverSir J. C. Bose invented the Mercury Coherer (together with the telephone receiver) used by Guglielmo Marconi to receive the radio signal in his first transatlantic radio communication over a distance of 2000 miles.Guglielmo Marconi was celebrated worldwide for this achievement, but the fact that the receiver was invented by Bose was totally concealed.Conclusion-While we are on Sir J.QABut did he?Yes and no.It is actually Sir Jagdish Chandra Bose's invention.He neverSir J. C. Bose invented the Mercury Coherer (together with the telephone receiver) used by Guglielmo Marconi to receive the radio signal in his first transatlantic radio communication over a distance of 2000 miles.Guglielmo Marconi was celebrated worldwide for this achievement, but the fact that the receiver was invented by Bose was totally concealed.Conclusion-While we are on Sir J. C. Bose let's put his greater discovery here as well-“Salute to this rare diamond.******** Mic drop *********Marconi stole the radio design from Nikola Tesla. Nikola Tesla won the casePatent: Finally, the Paternity of the Radio is questioned – BananaIP Counsels",7 followers,Ajay Patil,6.6K,515,2.2M,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
4,"A Microscope worth less than a dollar & a computer that runs on Water!!!FoldscopeA Microscope worth less than a dollar & a computer that runs on Water!!!FoldscopeHis TED Talk on Foldscope invention has got more than 3 Lacs views on YouTube.The idea for creating a low-cost microscope came to Manu Prakash in 2011 while he was at a field station in Thailand. He remarked that the station had a very expensive microscope but that everyone was afraid to use it because it was fragile and worth more than most people's salaries. He wanted to create a microscope that anyone could afford and that would be versatile and sturdy enough to work in field conditions. He developed the first prototype in 2014. Following the first generation of simple Foldscopes, twelve medical diagnostic Foldscope variants are being developed, each designed to aid the identification of a particular disease-causing organism. Each unit costs less than one US dollar to build, with estimates varying from 50 cents to 97 cents.In October 2015, India's Department of Biotechnology announced a program to make Foldscopes available across India at 80 approved colleges and programs. It will be used as a teaching tool for students in biology, chemistry and physics. After the pilot program, the Department hopes to work with Prakash to develop more low-cost science tools. Foldscope sets will also be produced and tested in Kenya and Uganda.But Prakash is most excited about amateurs just using the Foldscope to look at the world around them. “The biggest thing we’re trying to do is to make people curious,” he says. “Our ambition is that every kid should be able to carry a microscope in their pocket.” To make that happen, Prakash is now courting larger organizations that can take over the manufacturing and distribution. And he is convinced that once the scopes get in the hands of users, the rest will be easy.His Prakash lab is focused on innovative and easy to access products for all.Here is a picture of he and his lab membersSource:Stanford scientist Manu Prakash makes water based computer - Times of IndiaManu Prakash: A 50-cent microscope that folds like origamiStanford scientist Manu Prakash makes water based computer - Times of IndiaStanford engineers build a water-droplet based computer that runs like clockwork",0 followers,Shivam Rastogi,523,0,0,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
5,Radio/Wireless communication:EDIT: Here is the link for pdf of the timeline of events of Both Bose and MarconiThanksRadio/Wireless communication:EDIT: Here is the link for pdf of the timeline of events of Both Bose and MarconiThanks,269 followers,Karthik Reddy L,16K,0,0,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
6,"Hello readers!!!I think this answer will acknowledge you about a great discovery by an Indian.Do you know this gentleman in the picture below?He is Satyendranath Bose. The leading mathematician and physicist of early 20th century who is well known for his contribution in statistical mechanics and quantum theory and many other fields of theoretical science.Personally, being a science learner, he is my inspiration. Let me tell about his discoveries that completely revolutionized some important spaces in physics.“Bose-Einstein statistics”Hello readers!!!I think this answer will acknowledge you about a great discovery by an Indian.Do you know this gentleman in the picture below?He is Satyendranath Bose. The leading mathematician and physicist of early 20th century who is well known for his contribution in statistical mechanics and quantum theory and many other fields of theoretical science.Personally, being a science learner, he is my inspiration. Let me tell about his discoveries that completely revolutionized some important spaces in physics.“Bose-Einstein statistics”The fifth state of matter named as “However, For this work Bose was nominated for the noble prize. But the noble authority didn’t find any special in his work at that time(But now everybody knows how important his research was).You will surprise to know that such a big person","2,113 followers",Pavithran Subbiah,691,110,3.6M,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
7,Here are some of the greatest inventions/discoveries made by IndiansDecimal SystemHere are some of the greatest inventions/discoveries made by IndiansDecimal SystemSome of the more popular ones include,"45,929 followers",Steven Haddock,6.3K,25.5K,341.9M,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
8,"As the second most populous country in the world, India is teeming with creativity and innovation. Indeed, it was in India that the cataract surgery was first performed, and also where the concept of zero originated. With a focus on the here and now, this list highlights five out-of-the-box inventions that are posed to help citizens across the globe...1. GREEN LIVING – STREETS MADE OF PLASTICLike many countries, India grapples with an excess of plastic waste. Chemistry professor Rajagopalan Vasudevan devised a way to transform common plastic litter into a substitute for bitumen — the main ingrAs the second most populous country in the world, India is teeming with creativity and innovation. Indeed, it was in India that the cataract surgery was first performed, and also where the concept of zero originated. With a focus on the here and now, this list highlights five out-of-the-box inventions that are posed to help citizens across the globe...1. GREEN LIVING – STREETS MADE OF PLASTICLike many countries, India grapples with an excess of plastic waste. Chemistry professor Rajagopalan Vasudevan devised a way to transform common plastic litter into a substitute for bitumen — the main ingredient in asphalt used for road construction. Known as the “Plastic Man,” Vasudevan’s ingenious invention has already paved 3,000 miles (5,000 kilometers) of plastic thoroughfares in at least 11 Indian states.​Streets of plastic. [Image by Rajagopalan Vasudevan]2. EDUCATION – CARDBOARD BOXES TRANSFORMED INTO DESKSIn rural India, resources are limited and schools are particularly affected. Most students do not have proper desks, making learning more difficult -contributing to poor eyesight and posture. Marketing company DDB India and the nonprofit Aarambh came up with a creative solution called Help Desk. Made from discarded carton, the cardboard desk doubles as a brief-case like school bag and costs only 20 rupees to produce. The Help Desks are making significant difference in student’s lives and are easy to export to other countries in need.​The multi-purpose recyclable desk.3. SPEECH AND LANGUAGE – BREATHING TRANSLATES TO SPOKEN COMMUNICATIONAt the age of 16, Arsh Shah Dilbagi came up with a revolutionary invention that has the potential to change the lives of people with developmental disabilities and speech impairments. TALK is an AAC – augmentative and alternative communication device - that converts breaths into synthesized sentences or speak-out commands and phrases. His patent-pending technology got the attention of the world - Dilbagi was a finalist at the Google 2014 Science Fair and the portable invention will hopefully be on the market in the near future.​Young Dilbagi with his TALK invention.4. UNIVERSE – EXPLORING MARSThe Indian Space Research Organization set its sights on Mars with the Mangalyaan spacecraft, which went into orbit around the Red Planet on September 24, 2014. The Mangalyaan provides important information about Mars with exploration of the planet’s surface and atmosphere.​A picture of the Mangalyaan orbiting Mars. [Wikipedia]5. SIGHT AND MOVEMENT – SHOES THAT MOBILIZE THE VISUALLY-IMPAIREDHaptic technology uses vibration force or movement to communicate via the sense of touch, and is the backbone of Lechal shoes. Nestled in the insole, Lechal’s technology guides users with a series of vibrations that indicates which direction to walk. These special shoes allow visually impaired people to move around with confidence and security as their shoes and programmed GPS technology will take them to their desired destination. As an added bonus, for every purchase of a pair of LECHAL footwear, the cost of the insoles will be subsidized for a visually-challenged individual.​These insoles allow visually-impaired individuals complete mobility.Source: Goodnet ;)",UNKNOWN,Ricky Tack,613,27.9K,26.8M,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
9,"60% of the famous discoveries were made by Indians but, they didn’t reveal their discoveries. And this is the reason why most of the famous Indians are not recognized. So, here is a list of few greatest discoveries by Indians:This is a device which is used to identify different wavelengths, frequencies and wave numbers of different radiations and without this device, most of the advancements in modern physics and optics couldn't have been accomplished.2. Chandrasekhar limit (discovery by Sir Subrahmanyan Chandrasekhar)This is a theory based on astronomy and c60% of the famous discoveries were made by Indians but, they didn’t reveal their discoveries. And this is the reason why most of the famous Indians are not recognized. So, here is a list of few greatest discoveries by Indians:This is a device which is used to identify different wavelengths, frequencies and wave numbers of different radiations and without this device, most of the advancements in modern physics and optics couldn't have been accomplished.2. Chandrasekhar limit (discovery by Sir Subrahmanyan Chandrasekhar)This is a theory based on astronomy and cosmology. It states that: “Any celestial body which has less mass than 1.5x of sun, it becomes a white dwarf and on the other hand, the one with more mass than 1.5x of sun converts into a Blackhole be falling into its own gravity.” This theory helps to decide whether a light emitting body converts into a blackole or a white dwarf and can predict solar system’s future.3. Zero, Advancements in polynomials and equations (Discovered by Aryabhatta):Zero was first discovered by Aryabhatta and the advancements in equations and polynomials after the discovery of polynomials by Greeks was done by Aryabhatta.4. Trigonometry and calculation of value of pi (discovered by Budhayana)Trigonometry which is considered to be the most important branch in mathematics was first developed by Budhayana and also the value of the pi was calculated by Budhayana. It is said that Pythogorean Theorem was discovered by Pythogoras, but it was actually announced by Pythogoras which they learnt in east asia by Budhayana.5. Fiber optics (discovered by Narindar singh Kapany)The Punjabi student,",UNKNOWN,S. Dagar,3.5K,0,0,https://www.quora.com/What-are-some-of-the-greatest-discoveries-inventions-made-by-Indians-in-the-last-200-years
